GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Application Fee,Department of Geological Survey and Mineral Exploration (DGSE),,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Administrative fees for government services (1422E),Mining,Application Fee,ME1 & ME2,451375460.0,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Administrative fees for government services (1422E),Mining,"Incentive fees 1%, 2%",Myanmar Gems Enterprise,5108167768.97,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Administrative fees for government services (1422E),Mining,Other Fees,Department of Geological Survey and Mineral Exploration (DGSE),5000000.0,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Administrative fees for government services (1422E),Mining,Other Fees,Myanmar Pearl Entreprise,1230000.0,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Administrative fees for government services (1422E),Mining,"Other significant payments (> USD 50,000) ME",ME1 & ME2,3403108263.6,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Administrative fees for government services (1422E),Mining,"Other significant payments (> USD 50,000) MGE",Myanmar Gems Enterprise,5000000.0,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Administrative fees for government services (1422E),Mining,"Service Fees Euro Sales - Raw Materials 3%, Added Value 1%",Myanmar Gems Enterprise,40889891688.67,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Administrative fees for government services (1422E),Mining,Stamp Duties,Internal Revenue Department (IRD),12451400.0,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Administrative fees for government services (1422E),Oil & Gas,Stamp Duty,Internal Revenue Department (IRD),5063178.0,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Bonuses (1415E2),Oil & Gas,Signature Bonus,Myanmar Oil and Gas Enterprise,44199891745.0,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Customs and other import duties (1151E),Mining,Commercial Tax on Imports,Myanmar Customs Department (MCD),1951046108.0,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Customs and other import duties (1151E),Mining,Customs Duties,Myanmar Customs Department (MCD),4966579892.0,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Customs and other import duties (1151E),Oil & Gas,Customs duties (Normal and border imports),Myanmar Customs Department (MCD),190742815.0,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Mining,Production Split,ME1 & ME2,13326852825.78,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Mining,Sale Split,Myanmar Gems Enterprise,129267797049.61,MMK,Myanmar,MMR,2018,4/1/2017,3/31/2018
