GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Application for consolidation mining titles fees,Mining Cadastral Office,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Fee for suspension of operation,Mines Inspectorate Department,1900000.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Fees for application for amendment of documents,Mining Cadastral Office,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Fees for application for certified true copy of lost certificate of mining title,Mining Cadastral Office,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Mining title(s) fee for processing of renewal application,Mining Cadastral Office,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Mining titles(s) annual service fees,Mining Cadastral Office,1186423290.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Others:Renewal of exp. Magazine & ANFO permit,Mines Inspectorate Department,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Permit to Mix ANFO,Mines Inspectorate Department,5780000.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Permit to export minerals for commercial purposes,Mines Inspectorate Department,800000.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Permit to import explosives,Mines Inspectorate Department,2000000.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Registration of accredited agents for movement of minerals,Mines Inspectorate Department,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Renewal Detonator store no,Mines Inspectorate Department,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Renewal of Exp Mag & Det store,Mines Inspectorate Department,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Administrative fees for government services (1422E),Mining,Search fee/Due diligence,Mining Cadastral Office,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Bonuses (1415E2),Oil & Gas,Signature Bonus,Department of Petroleum Resources,1141514210.0,USD,Nigeria,NGA,2018,1/1/2018,12/31/2018
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,"Fees for cadastre map information, application for certified true copy of other documents other than title documents",Mining Cadastral Office,66000.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Niger Delta Development Commission Levy,Niger Delta Development Commission,683383325.73,USD,Nigeria,NGA,2018,1/1/2018,12/31/2018
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Nigerian Content Development and Monitoring Board (NCDMB) Levy,Nigerian Content Development and Monitoring Board (NCDMB),160010089.26,USD,Nigeria,NGA,2018,1/1/2018,12/31/2018
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Nigerian Export Supervision Scheme (NESS) Fees,Federal Ministry of Finance,37043081.9,USD,Nigeria,NGA,2018,1/1/2018,12/31/2018
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,transportation revenue,Nigerian National Petroleum Corporation (NNPC),423988419.96,USD,Nigeria,NGA,2018,1/1/2018,12/31/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Miscellanous Income,Nigerian National Petroleum Corporation (NNPC),393488949.23,USD,Nigeria,NGA,2018,1/1/2018,12/31/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Sales of Federation Crude Oil & Gas,Nigerian National Petroleum Corporation (NNPC),16004107530.0,USD,Nigeria,NGA,2018,1/1/2018,12/31/2018
Emission and pollution taxes (114522E),Mining,Permit to deposit tailings,Mines Inspectorate Department,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
"Extraordinary taxes on income, profits and capital gains (1112E2)",Mining,Others(CGT),Federal Inland Revenue Service,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
"Fines, penalties, and forfeits (143E)",Mining,Penalty fee for late renewal of mining titles (application),Mining Cadastral Office,4332000.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
"Fines, penalties, and forfeits (143E)",Oil & Gas,Gas Flare Penalties,Department of Petroleum Resources,15399879.44,USD,Nigeria,NGA,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,VAT,Federal Inland Revenue Service,39578311276.75,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Oil & Gas,VAT,Federal Inland Revenue Service (for Oil & Gas),762946348.39,USD,Nigeria,NGA,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Blasting certificates,Mines Inspectorate Department,8783918.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Detonator Magazine Licence,Mines Inspectorate Department,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Explosives magazine licence,Mines Inspectorate Department,19450315.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Licence to buy explosives,Mines Inspectorate Department,5780473.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Licence to manufacture explosives,Mines Inspectorate Department,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Licence to sell explosives,Mines Inspectorate Department,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Permit to posses and purchase minerals,Mines Inspectorate Department,3705520.0,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Reconnaisance permit,Mining Cadastral Office,,NGN,Nigeria,NGA,2018,1/1/2018,12/31/2018
