GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Recherche Cuvette,Direction Générale du Trésor (DGT),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Oil & Gas,Droits d'accise (DAC),Direction Générale des Douanes et des Droits Indirects (DGDDI),21651151.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Oil & Gas,Redevance informatique,Direction Générale des Douanes et des Droits Indirects (DGDDI),3945716545.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Oil & Gas,Tarif Extérieur Commun (TEC),Direction Générale des Douanes et des Droits Indirects (DGDDI),1522304437.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Oil & Gas,Taxe sur la valeur ajoutée (TVA-DGDDI),Direction Générale des Douanes et des Droits Indirects (DGDDI),1559069219.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Delivered/paid directly to government (1415E31),Oil & Gas,Interets Yanga & Sendji (15%) -en nature-,Direction Générale des Hydrocarbures (DGH),35206052.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Delivered/paid directly to government (1415E31),Oil & Gas,"Profit Oil, Super Profit Oil, Excess Oil -en nature-",Direction Générale des Hydrocarbures (DGH),696729389.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Delivered/paid directly to government (1415E31),Oil & Gas,Redevance minière proportionnelle -en nature-,Direction Générale des Hydrocarbures (DGH),709923363.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Part d’huile de la SNPC -en nature-,Société Nationale des Pétroles du Congo (SNPC),225182569.0,USD,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Oil & Gas,Centimes Additionnels (CAD),Direction Générale des Impôts et des Domaines (DGID),252239639.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Oil & Gas,Redressements Douaniers/amendes et pénalités,Direction Générale des Douanes et des Droits Indirects (DGDDI),150917268.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Oil & Gas,Redressements fiscaux/amendes et pénalités,Direction Générale des Impôts et des Domaines (DGID),7228986431.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
"Fines, penalties, and forfeits (143E)",Other,Amendes et infractions,Ministère de l'Economie Forestière et du Développement Durables (MEFDD),582876639.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Frais de formation,Other,Frais de formation,Direction Générale des Hydrocarbures (DGH),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
From government participation (equity) (1412E2),Mining,Dividendes versés par les sociétés minières,Direction Générale du Trésor (DGT),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
From government participation (equity) (1412E2),Oil & Gas,Dividendes versés à L'Etat,Direction Générale du Trésor (DGT),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
From government participation (equity) (1412E2),Oil & Gas,Dividendes versés à la SNPC,Société Nationale des Pétroles du Congo (SNPC),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Oil & Gas,Taxe sur la Valeur Ajoutée (TVA) (DGID),Direction Générale des Impôts et des Domaines (DGID),5175220390.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
