GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Appui Institutionnel (Fonds d'appui au Mini. De l'Env),"Direction des Eaux, Forêts, Chasses et Conservation des Sols (DEFCCS)",149314320.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Appui institutionnel,Direction des Mines et de la Géologie (DMG),578351583.72,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Customs and other import duties (1151E),Mining,"Droits de douane, TVA douanière et taxes assimilées",Direction Générale des Douanes (DGD),14459408788.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Customs and other import duties (1151E),Oil & Gas,"Droits de douane, TVA douanière et taxes assimilées",Direction Générale des Douanes (DGD),166765548.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Delivered/paid directly to government (1415E31),Oil & Gas,Revenus issus de la commercialisation de la Part de la production de l'État,Direction Générale de la Comptabilité Publique et du Trésor (DGCPT),166981592.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Appui à l'équipement,Société des Pétroles du Sénégal (PETROSEN),79081228.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Appui à la formation et Appui à la promotion de la recherche et de l'exploitation,Société des Pétroles du Sénégal (PETROSEN),1981611096.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Revenus issus de la commercialisation de la Part de la production de PETROSEN,Société des Pétroles du Sénégal (PETROSEN),99566374.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Emission and pollution taxes (114522E),Mining,Taxes d'abattage,"Direction des Eaux, Forêts, Chasses et Conservation des Sols (DEFCCS)",31082700.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Mining,Impôt sur le revenu des valeurs mobilières,Direction Générale des Impôts et des Domaines (DGID),318853923.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Oil & Gas,Impôt sur le revenu des valeurs mobilières,Direction Générale des Impôts et des Domaines (DGID),5272150.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
"Fines, penalties, and forfeits (143E)",Mining,"Amendes, pénalités et redressements douaniers",Direction Générale des Douanes (DGD),54000000.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
"Fines, penalties, and forfeits (143E)",Mining,Redressements fiscaux,Direction Générale des Impôts et des Domaines (DGID),4863558823.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Taxe spéciale sur le ciment,Direction Générale des Impôts et des Domaines (DGID),14041002285.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Taxe sur la valeur ajoutée reversée,Direction Générale des Impôts et des Domaines (DGID),27469637445.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Oil & Gas,Taxe sur la valeur ajoutée reversée,Direction Générale des Impôts et des Domaines (DGID),89170174.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Droits d'entrée/fixes,Direction des Mines et de la Géologie (DMG),189030000.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Patente,Direction Générale de la Comptabilité Publique et du Trésor (DGCPT),1386930603.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôt sur les sociétés,Direction Générale des Impôts et des Domaines (DGID),8526636170.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôt sur les sociétés (bénéfices non pétroliers/miniers ),Direction Générale des Impôts et des Domaines (DGID),48740220.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impôt sur les sociétés,Direction Générale des Impôts et des Domaines (DGID),271986000.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Other rent payments (1415E5),Oil & Gas,Loyer superficiel,Société des Pétroles du Sénégal (PETROSEN),188196935.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
Other taxes payable by natural resource companies (116E),Mining,Autres flux de paiements significatifs (> 25 millions de FCFA) (reconciliables),Direction Générale des Impôts et des Domaines (DGID),143458286.0,XOF,Senegal,SEN,2018,2018-01-01,2018-12-31
