GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,payment based on power agreement (special arrangement),Ministry of Finance,76083000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Mining,custom duties,Ministry of Finance,162000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
From government participation (equity) (1412E2),Mining,Dividend,Ministry of Finance,7416000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
From government participation (equity) (1412E2),Oil,Dividend,Ministry of Finance,355748000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
Licence fees (114521E),Mining,Concession fees,Ministry of Finance,137000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,corporate income tax,Ministry of Finance,378531000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,service tax,Ministry of Finance,10627000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Other,Unilateral disclosure for non-material companies,Ministry of Finance,99246000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
Royalties (1415E1),Mining,Mining royalties,Ministry of Finance,375082000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
Royalties (1415E1),Mining,Mining royalties/exporters,Ministry of Finance,112065000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
Sales of goods and services by government units (1421E),Mining,proceeds from sales of gold (Payment in-kind),Ministry of Finance,46240000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
Taxes on exports (1152E),Mining,Statistics rights,Ministry of Finance,4475000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
Taxes on payroll and workforce (112E),Other,Wage tax /Social Security premium,Ministry of Finance,337896000.0,SRD,Suriname,SUR,2017,2017-01-01,2017-12-31
