GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Other,Application and Process Fee,Ministry of Minerals,8955390308.41,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Customs and other import duties (1151E),Mining,Import duty,Tanzania Revenue Authority,20070885938.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Customs and other import duties (1151E),Other,Custom Processing Fees,Tanzania Revenue Authority,2971138802.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Customs and other import duties (1151E),Other,Railway development levy,Tanzania Revenue Authority,9292061612.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Profit per Production Sharing Agreement,Tanzania Petroleum Development Corporation (TPDC),52321938980.96,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Protected Gas Revenue,Tanzania Petroleum Development Corporation (TPDC),8314199823.8,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Tariff on gas transport through Mtwara-Dar es Salaam Gas Pipeline,Tanzania Petroleum Development Corporation (TPDC),,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Tariff on gas transport through SONGAS pipeline,Tanzania Petroleum Development Corporation (TPDC),22373677955.54,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Training fees,Tanzania Petroleum Development Corporation (TPDC),4656089789.48,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Emission and pollution taxes (114522E),Mining,Payments to MOTNR/TFS,Other Govt. Agency,,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Excise taxes (1142E),Mining,Excise duty,Tanzania Revenue Authority,24886252533.77,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Excise taxes (1142E),Other,Fuel levy,Tanzania Revenue Authority,626.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Excise taxes (1142E),Other,Petroleum levy,Tanzania Revenue Authority,10737305317.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Licence fees (114521E),Oil & Gas,Licence fee,Tanzania Petroleum Development Corporation (TPDC),2554280326.88,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Licence fees (114521E),Other,Licence and Permit Fees,Ministry of Minerals,2407539710.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Motor vehicle taxes (11451E),Other,Vehicle Registration Tax,Tanzania Revenue Authority,24350000.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Corporation tax,Tanzania Revenue Authority,156685080988.98,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Geita Town Council,3716057848.01,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Kahama Town Council,1379904933.28,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Kinondoni Municipal Council,40361874.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Kishapu District Council,369685528.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Local Goverment Authorities,,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Mbinga District Council,209668121.9,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Msalala District Council,472528660.16,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Mtwara District Council,600082869.01,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Mwanza City Council,33764641.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Songwe District Council,728801392.82,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Service Levy,Tarime District Council,2730017536.34,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Other taxes payable by natural resource companies (116E),Other,"Other Local Taxes, Fees and Levies",Kinondoni Municipal Council,7313000.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Other taxes payable by natural resource companies (116E),Other,"Other Local Taxes, Fees and Levies",Kishapu District Council,,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Other taxes payable by natural resource companies (116E),Other,"Other Local Taxes, Fees and Levies",Songwe District Council,80845435.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Other taxes payable by natural resource companies (116E),Other,"Other companies/individuals, not disaggregated by the EITI Report",Ministry of Minerals,39424324506.65,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Other taxes payable by natural resource companies (116E),Other,"Other companies/individuals, not disaggregated by the EITI Report",Tanzania Petroleum Development Corporation (TPDC),298553459.97,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Other taxes payable by natural resource companies (116E),Other,"Other companies/individuals, not disaggregated by the EITI Report",Tanzania Revenue Authority,30532139514.82,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Royalties (1415E1),Mining,Royalties for Minerals,Ministry of Minerals,339809375724.88,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Royalties (1415E1),Oil & Gas,Royalties for oil and gas,Tanzania Petroleum Development Corporation (TPDC),31326226855.21,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Taxes on payroll and workforce (112E),Other,Skills and Development Levy,Tanzania Revenue Authority,21437635190.22,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
Taxes on property (113E),Mining,Annual rent fees,Ministry of Minerals,117554722.0,TZS,Tanzania,TZA,2018,2017-07-01,2018-06-30
