GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Droits d’enregistrement,Commissariat des Impôts (CI),20248583.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Customs and other import duties (1151E),Mining,Droit de Douane (DD-RS-PCS-PC-RI et autres),Commissariat des Douanes et Droits Indirects (CDDI),344587283.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Emission and pollution taxes (114522E),Mining,Taxe d'enlèvement d'ordure,Commissariat des Impôts (CI),19601008.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
From government participation (equity) (1412E2),Mining,Dividendes,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),413500000.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Taxe sur la Valeur Ajoutée (TVA),Commissariat des Impôts (CI),3132877586.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Droits Fixes,Direction Générale des Mines et de la Géologie (DGMG),70700000.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Frais d’instruction du dossier,Direction Générale des Mines et de la Géologie (DGMG),30400000.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Redevances Superficiaires,Direction Générale des Mines et de la Géologie (DGMG),37947200.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Motor vehicle taxes (11451E),Mining,Taxes sur les véhicules,Commissariat des Impôts (CI),11700000.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôt Minimum Forfaitaire,Commissariat des Impôts (CI),151739428.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôt sur le Revenu des Capitaux Mobiliers (IRCM),Commissariat des Impôts (CI),843498734.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôt sur les Sociétés,Commissariat des Impôts (CI),2107682863.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Redressements fiscaux et pénalités payés au CI,Commissariat des Impôts (CI),45360088.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Retenue sur prestation de services,Commissariat des Impôts (CI),420640301.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Royalties (1415E1),Mining,Redevances Minières (Royalties),Direction Générale des Mines et de la Géologie (DGMG),1636344649.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Social security employer contributions (1212E),Mining,Cotisations sociales,Caisse Nationale de Sécurité Sociale (CNSS),1604662476.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Taxes on payroll and workforce (112E),Mining,Frais d'attestation de paiement de créance de salaire,Direction Générale du travail et de lois Sociales (DGTLS),410000.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Taxes on payroll and workforce (112E),Mining,Taxes d'autorisation d'embauche,Direction Générale du travail et de lois Sociales (DGTLS),1457652.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Taxes on payroll and workforce (112E),Mining,Taxes de visa des contrats des étrangers,Direction Générale du travail et de lois Sociales (DGTLS),1166122.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Taxes on property (113E),Mining,Retenue sur loyer,Commissariat des Impôts (CI),9033711.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
Taxes on property (113E),Mining,Taxes Foncières,Commissariat des Impôts (CI),54451334.0,XOF,Togo,TGO,2018,2018-01-01,2018-12-31
