GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Oil & Gas,Administration Fees,Ministry on Energy and Energy Industries,61507030.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Administrative fees for government services (1422E),Oil & Gas,Petroleum Impost,Ministry on Energy and Energy Industries,75504575.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Bonuses (1415E2),Oil & Gas,PSC signature bonuses,Ministry on Energy and Energy Industries,,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Bonuses (1415E2),Oil & Gas,Transfer fees,Ministry on Energy and Energy Industries,,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Abandonment Provision – Payments into Environmental Escrow Account,Ministry on Energy and Energy Industries,,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,PSC Bidding fees,Ministry on Energy and Energy Industries,,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,PSC’s Holding Fee,Ministry on Energy and Energy Industries,13829804.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Production Bonus,Ministry on Energy and Energy Industries,,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,R&D Fees,Ministry on Energy and Energy Industries,40113174.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Scholarships,Ministry on Energy and Energy Industries,10491396.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Technical assistance,Ministry on Energy and Energy Industries,834263.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Training Fees,Ministry on Energy and Energy Industries,38184968.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Delivered/paid directly to government (1415E31),Oil & Gas,Other payments under PSCs,Ministry on Energy and Energy Industries,756305762.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Delivered/paid directly to government (1415E31),Oil & Gas,Production Sharing Contract (PSC) share of profits,Ministry on Energy and Energy Industries,1273271006.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Excise taxes (1142E),Oil & Gas,Supplemental Petroleum tax,Ministry of Finance - Inland Revenue Division,883756211.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
"Extraordinary taxes on income, profits and capital gains (1112E2)",Oil & Gas,Petroleum Profits Tax,Ministry of Finance - Inland Revenue Division,403824699.0,TTD,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
