GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Other fees & charges,Ministry of Mines and Minerals Development,3775232.33,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Administrative fees for government services (1422E),Oil,DATA PACKAGE,Ministry of Mines and Minerals Development,858480.0,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Customs and other import duties (1151E),Mining,Import/Customs Duty,Zambian Revenue Authority (ZRA),656255679.94,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Emission and pollution taxes (114522E),Mining,Payments to EPF,Environmental Protection Fund,23330601.78,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Excise taxes (1142E),Mining,Domestic Excise,Zambian Revenue Authority (ZRA),82706233.01,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Excise taxes (1142E),Mining,Excise Duty - Electrical Energy,Zambian Revenue Authority (ZRA),81538078.11,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
From government participation (equity) (1412E2),Mining,Dividends (from ZCCM to IDC),IDC,69205641.67,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
From state-owned enterprises (1412E1),Mining,CEC - Dividends,ZCCM- IH,205288440.0,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
From state-owned enterprises (1412E1),Mining,Dividends (from ZCCM to MOF),MoF,23178861.72,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
From state-owned enterprises (1412E1),Mining,Price participation fees,ZCCM- IH,553038808.44,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Import VAT,Zambian Revenue Authority (ZRA),3040756522.34,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Turnover Tax,Zambian Revenue Authority (ZRA),214103.32,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,VAT,Zambian Revenue Authority (ZRA),3059646718.87,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Annual Business Fees,Local Councils,3904520.96,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Licence Fees,Ministry of Mines and Minerals Development,6689725.28,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Manganese Levy,Local Councils,547561.12,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Presumptive Tax,Zambian Revenue Authority (ZRA),2662.0,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,Stone Levy,Local Councils,1046904.48,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Licence fees (114521E),Oil,ANNUAL LICENCE FEES,Ministry of Mines and Minerals Development,690000.0,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Licence fees (114521E),Oil,APPLICATION FEES,Ministry of Mines and Minerals Development,480000.0,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Company Income Tax (including Provisional Tax),Zambian Revenue Authority (ZRA),2466978518.6,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Other taxes (ZRA),Zambian Revenue Authority (ZRA),3059098.49,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Other rent payments (1415E5),Mining,Area Charges,Ministry of Mines and Minerals Development,32972985.98,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Other rent payments (1415E5),Mining,Ground Rent,Ministry of Lands,686956.97,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Other rent payments (1415E5),Oil,AREA CHARGES,Ministry of Mines and Minerals Development,2763416.34,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Other taxes payable by natural resource companies (116E),Mining,Others-Invitation to Treat / Title Deeds,Ministry of Lands,1069731.5,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Royalties (1415E1),Mining,Mineral Royalty,Zambian Revenue Authority (ZRA),3878198937.84,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Taxes on property (113E),Mining,Property Rates,Local Councils,219547708.32,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
Taxes on property (113E),Mining,Property Transfer Tax,Zambian Revenue Authority (ZRA),3709333.23,ZMW,Zambia,ZMB,2018,2018-01-01,2018-12-31
