Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Abaan Rayan Limited,Ministry of Finance (Customs Department),Export Duty,No,No,,AFN,97369889788.0, No ,Not applicable,Not applicable,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Abaan Rayan Limited,Ministry of Finance (Customs Department),Fixed Tax on Exports,No,No,,AFN,393488949.23, No ,Not applicable,Not applicable,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Abaan Rayan Limited,Ministry of Finance (Customs Department),Other Fee on Exports,No,No,,AFN,, No ,Not applicable,Not applicable,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Abaan Rayan Limited,Ministry of Finance (Customs Department),Penalty on Exports,No,No,,AFN,833734746.0, No ,Not applicable,Not applicable,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Abas Ghaznavi Limited,Ministry of Finance (Customs Department),Export Duty,No,No,,AFN,225182569.0, No ,Not applicable,Not applicable,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Abas Ghaznavi Limited,Ministry of Finance (Customs Department),Export Duty,No,No,,AFN,, No ,Not applicable,Not applicable,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Abas Ghaznavi Limited,Ministry of Finance (Customs Department),Fixed Tax on Exports,No,No,,AFN,, No ,Not applicable,Not applicable,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Abas Ghaznavi Limited,Ministry of Finance (Customs Department),Fixed Tax on Exports,No,No,,AFN,, No ,Not applicable,Not applicable,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Abas Ghaznavi Limited,Ministry of Finance (Customs Department),Other Fee on Exports,No,No,,AFN,99475483.58, No ,Not applicable,Not applicable,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Abas Ghaznavi Limited,Ministry of Finance (Customs Department),Other Fee on Exports,No,No,,AFN,57696675052.0, No ,Not applicable,Not applicable,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
