Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
11 Heronjte Bater,Albanian Customs Administrate,Royalties,No,No,,ALL,2100.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
11 Heronjte Bater,General Directorate of Taxes,Payments for social and health insurance and personal income tax,No,No,,ALL,24812.43,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
11 Heronjte Bater,General Directorate of Taxes,Royalties,No,No,,ALL,12013.04,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
11 Heronjte Bater,General Directorate of Taxes,Tax on dividend,No,No,,ALL,168350.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
11 Heronjte Bater,General Directorate of Taxes,Tax on profit,No,No,,ALL,47140.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
11 Heronjte Bater,General Directorate of Taxes,VAT,No,No,,ALL,413338.76,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
11 Heronjte Bater,Municipality of Bulqizë,Other payments to the State and local government units,No,No,,ALL,312.5,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
3A-160 sh.p.k,Albanian Customs Administrate,Royalties,No,No,,ALL,33557.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
3A-160 sh.p.k,General Directorate of Taxes,Payments for social and health insurance and personal income tax,No,No,,ALL,160.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
3A-160 sh.p.k,General Directorate of Taxes,Royalties,No,No,,ALL,2000.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
3A-160 sh.p.k,General Directorate of Taxes,Tax on dividend,No,No,,ALL,75.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
3A-160 sh.p.k,General Directorate of Taxes,Tax on profit,No,No,,ALL,,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
3A-160 sh.p.k,General Directorate of Taxes,VAT,No,No,,ALL,6223.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ALBMINE & CHROME,Albanian Customs Administrate,Other payments to the State and local government units,No,No,,ALL,31646728.61,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ALBMINE & CHROME,Albanian Customs Administrate,Royalties,No,No,,ALL,43891373.64,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ALBMINE & CHROME,General Directorate of Taxes,Payments for social and health insurance and personal income tax,No,No,,ALL,,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ALBMINE & CHROME,General Directorate of Taxes,Royalties,No,No,,ALL,13700000.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ALBMINE & CHROME,General Directorate of Taxes,Tax on dividend,No,No,,ALL,917700750.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ALBMINE & CHROME,General Directorate of Taxes,Tax on profit,No,No,,ALL,1027000000.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ALBMINE & CHROME,General Directorate of Taxes,VAT,No,No,,ALL,,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ASAB,Albanian Customs Administrate,Other payments to the State and local government units,No,No,,ALL,11817340.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ASAB,Albanian Customs Administrate,Royalties,No,No,,ALL,,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ASAB,General Directorate of Taxes,Payments for social and health insurance and personal income tax,No,No,,ALL,2971138802.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ASAB,General Directorate of Taxes,Royalties,No,No,,ALL,74667251893.19,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ASAB,General Directorate of Taxes,Tax on dividend,No,No,,ALL,66803749809.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ASAB,General Directorate of Taxes,Tax on profit,No,No,,ALL,303429.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ASAB,General Directorate of Taxes,VAT,No,No,,ALL,113100274.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
ASAB,Municipality of Patos,Other payments to the State and local government units,No,No,,ALL,121423458.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Ag-Invest,Albanian Customs Administrate,Other payments to the State and local government units,No,No,,ALL,8400563354.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Ag-Invest,Albanian Customs Administrate,Royalties,No,No,,ALL,539200395.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Ag-Invest,General Directorate of Taxes,Payments for social and health insurance and personal income tax,No,No,,ALL,,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Ag-Invest,General Directorate of Taxes,Royalties,No,No,,ALL,27414.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Ag-Invest,General Directorate of Taxes,Tax on dividend,No,No,,ALL,69205641.67,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Ag-Invest,General Directorate of Taxes,Tax on profit,No,No,,ALL,16832268.63,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Ag-Invest,General Directorate of Taxes,VAT,No,No,,ALL,310107098.09,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Agbes Construksion,Albanian Customs Administrate,Other payments to the State and local government units,No,No,,ALL,39626280323.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Agbes Construksion,Albanian Customs Administrate,Royalties,No,No,,ALL,,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Agbes Construksion,General Directorate of Taxes,Payments for social and health insurance and personal income tax,No,No,,ALL,244925278.38,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Agbes Construksion,General Directorate of Taxes,Royalties,No,No,,ALL,374886049.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Agbes Construksion,General Directorate of Taxes,Tax Penalties,No,No,,ALL,1592376399.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Agbes Construksion,General Directorate of Taxes,Tax on dividend,No,No,,ALL,,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Agbes Construksion,General Directorate of Taxes,Tax on profit,No,No,,ALL,,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Agbes Construksion,General Directorate of Taxes,VAT,No,No,,ALL,1457152.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Agbes Construksion,Municipality of Bulqizë,Other payments to the State and local government units,No,No,,ALL,2039147.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Aggregated,Albanian Customs Administrate,Other payments to the State and local government units,No,No,,ALL,754837087.47,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Aggregated,Albanian Customs Administrate,Royalties,No,No,,ALL,1002233432.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Aggregated,General Directorate of Taxes,Payments for social and health insurance and personal income tax,No,No,,ALL,12524.62,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Aggregated,General Directorate of Taxes,Royalties,No,No,,ALL,493582.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Aggregated,General Directorate of Taxes,Tax Penalties,No,No,,ALL,62036.26,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Aggregated,General Directorate of Taxes,Tax on dividend,No,No,,ALL,285817.47,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Aggregated,General Directorate of Taxes,Tax on profit,No,No,,ALL,47061229.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Aggregated,General Directorate of Taxes,VAT,No,No,,ALL,-11468253591.72,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Aggregated,Municipality of Bulqizë,Other payments to the State and local government units,No,No,,ALL,-16374916539.17,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Aggregated,Municipality of Patos,Other payments to the State and local government units,No,No,,ALL,,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Al-Gem sh.a,Albanian Customs Administrate,Royalties,No,No,,ALL,2646000000.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Al-Gem sh.a,General Directorate of Taxes,Payments for social and health insurance and personal income tax,No,No,,ALL,25381959.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Al-Gem sh.a,General Directorate of Taxes,Royalties,No,No,,ALL,23582560.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Al-Gem sh.a,General Directorate of Taxes,Tax on dividend,No,No,,ALL,49500000.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
Al-Gem sh.a,General Directorate of Taxes,Tax on profit,No,No,,ALL,1603447500.0,No,,,Mining,Albania,ALB,2018,2018-01-01,2018-12-31
