Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Chaarat Kapan CJSC,Ministry of Environment,Contribution payment to the Environmental protection fund,Yes,Yes,SHATV-29/183,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Ministry of Environment,Environmental assessment fee,Yes,Yes,SHATV-29/183,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Ministry of Environment,Monitoring payment,Yes,Yes,SHATV-29/183,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Ministry of Environment,Penalties,Yes,Yes,SHATV-29/183,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Ministry of Territorial Administration and Development,Land tax,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Ministry of Territorial Administration and Development,Property tax,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Ministry of Territorial Administration and Development,Rent fee,Yes,Yes,SHATV-29/183,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,Custom duties,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,Environmental fees for goods imported from EEU member states,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,Environmental fees for goods imported from non EEU member states,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,Environmental payments (taxes),Yes,Yes,SHATV-29/183,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,Import Excise taxes,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,Income tax,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,Mining Royalties,Yes,Yes,SHATV-29/183,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,Nature utilisation fee,Yes,Yes,SHATV-29/183,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,Profit tax,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,Profit tax for non-residents,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,State duty for mining permit,Yes,Yes,SHATV-29/183,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
Chaarat Kapan CJSC,Tax Revenue Authority,VAT,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
“Agarak Copper Molybdenum Combine” CJSC,Ministry of Environment,Contribution payment to the Environmental protection fund,Yes,Yes,SHATV-29/311,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
“Agarak Copper Molybdenum Combine” CJSC,Ministry of Environment,Monitoring payment,Yes,Yes,SHATV-29/311,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
“Agarak Copper Molybdenum Combine” CJSC,Ministry of Territorial Administration and Development,Land tax,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
“Agarak Copper Molybdenum Combine” CJSC,Ministry of Territorial Administration and Development,Property tax,No,No,,AMD,,,,,,Armenia,ARM,2019,2019-01-01,2019-12-31
