Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Ampella Mining Gold Sarl,Direction Générale des Douanes (DGD),Droits de Douane et taxes assimilées,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Ampella Mining Gold Sarl,Direction Générale des Impôts (DGI),Taxe sur la Valeur Ajoutée (TVA),No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Ampella Mining Gold Sarl,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Droits Fixes,No,No,,XOF,42083.0,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Ampella Mining Gold Sarl,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Taxe Superficiaire,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Ampella Mining Gold Sarl,Frais de prestation BUMIGEB,Frais de prestation BUMIGEB,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Direction Générale des Douanes (DGD),Droits de Douane et taxes assimilées,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Direction Générale des Douanes (DGD),Pénalités (DGD),No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Direction Générale des Impôts (DGI),Acomptes Provisionnels sur IS (AP - IS),No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Direction Générale des Impôts (DGI),Impôt sur le Revenu des Valeurs Mobilières (IRVM),No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Direction Générale des Impôts (DGI),Impôt sur les Sociétés (IS),No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Direction Générale des Impôts (DGI),Taxe sur la Valeur Ajoutée (TVA),No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Dividendes,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevances proportionnelles (Royalties),No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Taxe Superficiaire,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Frais de prestation BUMIGEB,Frais de prestation BUMIGEB,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Birimian Resources,Direction Générale des Douanes (DGD),Droits de Douane et taxes assimilées,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Birimian Resources,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Droits Fixes,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Birimian Resources,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Taxe Superficiaire,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Birimian Resources,Frais de prestation BUMIGEB,Frais de prestation BUMIGEB,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Burkina Mining Company SA,Direction Générale des Douanes (DGD),Droits de Douane et taxes assimilées,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Burkina Mining Company SA,Direction Générale des Douanes (DGD),Pénalités (DGD),No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Burkina Mining Company SA,Direction Générale des Impôts (DGI),Acomptes Provisionnels sur IS (AP - IS),No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Burkina Mining Company SA,Direction Générale des Impôts (DGI),Contribution des patentes,No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Burkina Mining Company SA,Direction Générale des Impôts (DGI),Droit d'enregistemeent (DE),No,No,,XOF,,No,,,,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
