Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
ABOURACHID Mining,Direction Générale Technique des Mines (DGTM),Contribution à la formation du personnel du MPME,No,No,Non applicable,USD,14080.0,No,Non applicable,Non applicable,,Chad,TCD,2018,2018-01-01,2018-12-31
CGCOC Group,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevance superficiaire,No,No,Non applicable,USD,,No,Non applicable,Non applicable,,Chad,TCD,2018,2018-01-01,2018-12-31
CGCOC Group,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Taxe d’extraction,No,No,Non applicable,USD,,No,Non applicable,Non applicable,,Chad,TCD,2018,2018-01-01,2018-12-31
Cameroun Oil Transportation Company (COTCO),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Dividendes versés à l'Etat,No,No,Non applicable,USD,,No,Non applicable,Non applicable,,Chad,TCD,2018,2018-01-01,2018-12-31
China National Petroleum Corporation International (CNPC),Direction Générale Technique de Pétrole (DGTP),Contribution à la formation du personnel du MPME,No,No,Non applicable,USD,,No,Non applicable,Non applicable,,Chad,TCD,2018,2018-01-01,2018-12-31
China National Petroleum Corporation International (CNPC),Direction Générale Technique de Pétrole (DGTP),Frais de présentation du rapport annuel,No,No,Non applicable,USD,,No,Non applicable,Non applicable,,Chad,TCD,2018,2018-01-01,2018-12-31
China National Petroleum Corporation International (CNPC),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Autres paiements significatifs,No,No,Non applicable,USD,,No,Non applicable,Non applicable,,Chad,TCD,2018,2018-01-01,2018-12-31
China National Petroleum Corporation International (CNPC),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redressements fiscaux,No,No,Non applicable,USD,,No,Non applicable,Non applicable,,Chad,TCD,2018,2018-01-01,2018-12-31
China National Petroleum Corporation International (CNPC),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Taxe d’extraction,No,No,Non applicable,USD,,No,Non applicable,Non applicable,,Chad,TCD,2018,2018-01-01,2018-12-31
China National Petroleum Corporation International (CNPC),Société des Hydrocarbures du Tchad (SHT),Profit Oil collecté par la SHT,No,No,Non applicable,USD,,Yes,2541955,Barrels,Quotes-parts de l'Etat (Profit Oil SHT- 10%) dans le consortium CNPCI,Chad,TCD,2018,2018-01-01,2018-12-31
