Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
AFRICAN PETROLEUM CI,Direction Générale des impôts (DGI),Impôts sur les Bénéfices non Commerciaux - BNC,No,No,,XOF,470473460.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des Douanes (DGD),Droits de Douane et taxes assimilées,No,No,,XOF,,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des Mines et de la Géologie (DGMG),Contribution à la formation,No,No,,XOF,467080000.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des Mines et de la Géologie (DGMG),Droits Fixes,No,No,,XOF,76434755.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des Mines et de la Géologie (DGMG),Redevances Superficiaires,No,No,,XOF,7500000.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des Mines et de la Géologie (DGMG),Taxes ad-valorem (15% Royalties),No,No,,XOF,431205579.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des impôts (DGI),Contribution des patentes,No,No,,XOF,13168000000.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des impôts (DGI),Impôt sur le Revenu des Capitaux Mobiliers (IRC),No,No,,XOF,3367802653.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des impôts (DGI),Impôt sur le Revenu des Valeurs Mobilières (IRVM),No,No,,XOF,6038626780.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des impôts (DGI),Impôt sur le revenu du secteur informel - AIRSI,No,No,,XOF,8201800000.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des impôts (DGI),Impôts sur les Bénéfices non Commerciaux - BNC,No,No,,XOF,1144672000.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale des impôts (DGI),Taxes ad-valorem (85% Royalties),No,No,,XOF,10801000.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Dividendes issues des participations de l'Etat,No,No,,XOF,162015000.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Société pour le Développement Minier de la Cote d'Ivoire (SODEMI),Dividendes issues des participations de la SODEMI,No,No,,XOF,1141514210.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AMARA Mining CI,Direction Générale des Douanes (DGD),Droits de Douane et taxes assimilées,No,No,,XOF,58924153.51,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AMARA Mining CI,Direction Générale des Mines et de la Géologie (DGMG),Droits Fixes,No,No,,XOF,26748.17,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AMARA Mining CI,Direction Générale des impôts (DGI),Impôt sur le revenu du secteur informel - AIRSI,No,No,,XOF,598.17,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AMARA Mining CI,Direction Générale des impôts (DGI),Impôts sur les Bénéfices non Commerciaux - BNC,No,No,,XOF,32948.27,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
ANADARKO,Direction Générale des Hydrocarbures (DGH),Mise à disposition des équipements par les sociétés pétrolières à la DHG,No,No,,XOF,22800.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
ANADARKO,Direction Générale des Mines et de la Géologie (DGMG),Contribution à la formation,No,No,,XOF,1382597467.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
ANADARKO,Direction Générale des impôts (DGI),Impôt sur le revenu du secteur informel - AIRSI,No,No,,XOF,627893.0,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
Autres acheteurs,Société Nationale d'Opérations Pétrolières de Cote d'Ivoire (PETROCI),Profit Oil et Cost Oil Etat Associé,No,No,,XOF,,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
Autres sociétés non incluses dans le périmètre de conciliation,Société pour le Développement Minier de la Cote d'Ivoire (SODEMI),Cession des parts de la SODEMI dans SMI,No,No,,XOF,,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
Autres sociétés non incluses dans le périmètre de conciliation,Société pour le Développement Minier de la Cote d'Ivoire (SODEMI),Cession des travaux de recherche réalisés par la SODEMI,No,No,,XOF,,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
BONDOUKOU MANGANESE SA (INDE),Direction Générale des Douanes (DGD),Droits de Douane et taxes assimilées,No,No,,XOF,,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
BONDOUKOU MANGANESE SA (INDE),Direction Générale des Mines et de la Géologie (DGMG),Redevances Superficiaires,No,No,,XOF,,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
BONDOUKOU MANGANESE SA (INDE),Direction Générale des Mines et de la Géologie (DGMG),Taxes ad-valorem (15% Royalties),No,No,,XOF,,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
BONDOUKOU MANGANESE SA (INDE),Direction Générale des impôts (DGI),Impôt sur le revenu du secteur informel - AIRSI,No,No,,XOF,,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
BONDOUKOU MANGANESE SA (INDE),Direction Générale des impôts (DGI),Impôts sur les Bénéfices non Commerciaux - BNC,No,No,,XOF,,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
BONDOUKOU MANGANESE SA (INDE),Direction Générale des impôts (DGI),Taxes ad-valorem (85% Royalties),No,No,,XOF,,,,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
