Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
ALPHAMINBISIE MINING SA,Direction Générale des Douanes et Accises (DGDA),Droits et Taxes A L'Exportation (Totale Quittance),No,No,,USD,1725097.0,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
ALPHAMINBISIE MINING SA,Direction Générale des Douanes et Accises (DGDA),Droits et taxes à l'importation (Totale Quittance),No,No,,USD,903247.0,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
ALPHAMINBISIE MINING SA,Direction Générale des Impôts (DGI),Avis de Mise en Recouvrement A,No,No,,USD,1291039.0,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
ALPHAMINBISIE MINING SA,Direction Générale des Impôts (DGI),Avis de Mise en Recouvrement B,No,No,,USD,,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
ALPHAMINBISIE MINING SA,Direction Générale des Impôts (DGI),Impôt sur les bénéfices et Profits(ou Impôt Spécial Forfetaire),No,No,,USD,,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
ALPHAMINBISIE MINING SA,Direction Générale des Impôts (DGI),Impôts Professionnel sur les Rémunérations et Exceptionnel sur la Rémunération des Expatriés,No,No,,USD,,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
ALPHAMINBISIE MINING SA,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",Droits superficiaire annuels par carré,No,No,,USD,,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
ALPHAMINBISIE MINING SA,"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",Police des Mines et Hydrocarbures,No,No,,USD,,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
AMUR MUGOTE & FRERES,Direction des Recettes Provinciales,Autorisation de transport de minerais,No,No,,USD,14459408788.0,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
AMUR MUGOTE & FRERES,Direction des Recettes Provinciales,Autres Recettes (Uniquement pour les AFE),No,No,,USD,140612076.0,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
AMUR MUGOTE & FRERES,Direction des Recettes Provinciales,Royalties versés aux DRP,No,No,,USD,492833.0,No,Non applicable,Non applicable,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
