Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Barrick Pueblo Viejo Dominican Corporation,Direccion Genreral de Aduanas (DGA),Regalía del 5% de las exportaciones,No,Yes,Pueblo Viejo Dominicana Corporation,DOP,,No,,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
Barrick Pueblo Viejo Dominican Corporation,Dirección General de Impuestos Internos (DGII),IMPUESTO POR INTERESES PAGADOS O ACREDITADOS EN EL EXTERIOR,No,Yes,Pueblo Viejo Dominicana Corporation,DOP,,No,,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
Barrick Pueblo Viejo Dominican Corporation,Dirección General de Impuestos Internos (DGII),IMPUESTO POR PAGO AL EXTERIOR EN GENERAL,No,Yes,"Falconbridge Dominicana, S.A.",DOP,,No,,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
Barrick Pueblo Viejo Dominican Corporation,Dirección General de Impuestos Internos (DGII),IMPUESTO POR PAGO AL EXTERIOR EN GENERAL,No,Yes,Pueblo Viejo Dominicana Corporation,DOP,,No,,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
Barrick Pueblo Viejo Dominican Corporation,Dirección General de Impuestos Internos (DGII),Impuesto Sobre la Renta de las Empresas,No,Yes,Pueblo Viejo Dominicana Corporation,DOP,,No,,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
Barrick Pueblo Viejo Dominican Corporation,Dirección General de Impuestos Internos (DGII),Impuesto de Participación sobre Utilidades Netas,No,Yes,Pueblo Viejo Dominicana Corporation,DOP,,No,,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
Barrick Pueblo Viejo Dominican Corporation,Dirección General de Impuestos Internos (DGII),Impuesto de Superficie,No,Yes,Pueblo Viejo Dominicana Corporation,DOP,,No,,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
Barrick Pueblo Viejo Dominican Corporation,Dirección General de Impuestos Internos (DGII),Impuesto sobre la Renta de los Salarios,No,Yes,Pueblo Viejo Dominicana Corporation,DOP,,No,,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
Barrick Pueblo Viejo Dominican Corporation,Dirección General de Impuestos Internos (DGII),Retorno Neto de Fundición Minera,No,Yes,Pueblo Viejo Dominicana Corporation,DOP,,No,,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
Barrick Pueblo Viejo Dominican Corporation,Dirección General de Minería (DGM),Revisión de puntos de conexión,No,Yes,Barrick Pueblo Viejo Dominican Corporation,DOP,,No,,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
