Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Abosso GoldFields Ltd,Ellembelle,Property rate,No,No,,GHS,41200259000.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Environmental Protection Agency,EPA Processing/Permit Fees,Yes,No,,GHS,33847339548.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Ghana Revenue Authority,Corporate Tax,No,No,,GHS,60064386.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Ghana Revenue Authority,Mineral Royalty,Yes,No,,GHS,,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Minerals Commission,Mineral Right Licence-ML (No Production yet),Yes,No,,GHS,19601008.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Minerals Commission,Mineral Right Licence-ML (Production),Yes,No,,GHS,8173375.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Minerals Commission,Mineral Right Licence-ML (Reconnaisance),Yes,No,,GHS,31082700.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Minerals Commission,Mineral Right Licence-ML(Prospecting),Yes,No,,GHS,4263702851.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Minerals Commission,Other Fees and Licence,No,No,,GHS,56917141.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Minerals Commission,Permit Licence,No,No,,GHS,,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Ministry of Finance,Dividend,No,No,,GHS,,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Abosso GoldFields Ltd,Office of the Administrator of Stool Lands,Ground Rent,Yes,No,,GHS,5192690000.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Ellembelle,Property rate,No,No,,GHS,24822399.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Environmental Protection Agency,EPA Processing/Permit Fees,Yes,No,,GHS,47456133182.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Ghana Revenue Authority,Corporate Tax,No,No,,GHS,188055303.28,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Ghana Revenue Authority,Mineral Royalty,Yes,No,,GHS,81538078.11,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Minerals Commission,Mineral Right Licence-ML (No Production yet),Yes,No,,GHS,114885000.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Minerals Commission,Mineral Right Licence-ML (Production),Yes,No,,GHS,186941022.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Minerals Commission,Mineral Right Licence-ML (Reconnaisance),Yes,No,,GHS,167909000.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Minerals Commission,Mineral Right Licence-ML(Prospecting),Yes,No,,GHS,485383972.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Minerals Commission,Other Fees and Licence,No,No,,GHS,,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Minerals Commission,Permit Licence,No,No,,GHS,9297122.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Ministry of Finance,Dividend,No,No,,GHS,226697787.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
Adamus Resources Ltd,Office of the Administrator of Stool Lands,Ground Rent,Yes,No,,GHS,30250.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
AngloGold Ashanti (Ghana) Ltd,Environmental Protection Agency,EPA Processing/Permit Fees,Yes,No,,GHS,1637777638.67,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
AngloGold Ashanti (Ghana) Ltd,Ghana Revenue Authority,Corporate Tax,No,No,,GHS,489063005.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
AngloGold Ashanti (Ghana) Ltd,Ghana Revenue Authority,Mineral Royalty,Yes,No,,GHS,22.0,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
AngloGold Ashanti (Ghana) Ltd,Minerals Commission,Mineral Right Licence-ML (No Production yet),Yes,No,,GHS,373287.43,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
AngloGold Ashanti (Ghana) Ltd,Minerals Commission,Mineral Right Licence-ML (Production),Yes,No,,GHS,358365215.22,No,,,,Ghana,GHA,2018,2018-01-01,2018-12-31
