Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
AGM Inc.,Environmental Protection Agency (EPA),Construction Permit Fees,Yes,Yes,"Aurora mine, Cuyuni 4",GYD,44199891745.0,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
AGM Inc.,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,"Aurora mine, Cuyuni 4",GYD,14173540.32,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
AGM Inc.,Guyana Gold Board (GGB),Royalties-,Yes,Yes,"Aurora mine, Cuyuni 4",GYD,11904735.77,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
AGM Inc.,Ministry of Finance (MoF),Royalties (MoF),Yes,Yes,"Aurora mine, Cuyuni 4",GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Alphonso Clinton,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Alphonso Clinton,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Alphonso Clinton,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Alphonso Clinton,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Alphonso Clinton,Guyana Gold Board (GGB),Royalties-,Yes,Yes,Alphonso Clinton,GYD,2407539710.0,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Aranka Gold Incorporated,Guyana Geology and Mines Commission (GGMC),Annual Licence Rental Charge,Yes,Yes,Aranka Gold Incorporated,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Aranka Gold Incorporated,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Aranka Gold Incorporated,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Azeem Baksh,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Azeem Baksh,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
