Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Al Waha Petroleum CO. LTD,Ministry of Finance,Corporate Income tax,Yes,Yes,Ahdeb,USD,8783918.0,No,,,Corporate income tax is reported by project rather than by company. This project is operated by only one company - Al Waha Petroleum CO. LTD,Iraq,IRQ,2017,1/1/2017,12/31/2017
Al Waha Petroleum CO. LTD,Ministry of Finance,Crude oil export revenue,No,No,,USD,3469.0,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
ApiOil Limited,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
BOC IRAQ B.V.,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
BP & PETROCHINA INTERNATIONAL,Ministry of Finance,Corporate Income tax,Yes,Yes,Rumaila Field,USD,,No,,,Corporate income tax is reported by project rather than by company. The field consortium oeprating Rumaila field are BP and Petrochina International.,Iraq,IRQ,2017,1/1/2017,12/31/2017
BP & PETROCHINA INTERNATIONAL,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
BP OIL,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Bharat Oman Refineries Limited,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Bharat Petroleum Corporation LTD.,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
CANAL,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
CEPSA TRADING SAU,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
CHENNAI PETROLEUM CORPORATION LTD,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
CNOOCI,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Chevron Products Co. A Division Of Chevron U.S.A. Inc.,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
China International (UNIPEC Asia Co. Ltd),Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
China Nationl United Oil Corporation (China Oil),Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
China Offshore Oil (Singapore) International Pte Ltd,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Dragon Oil Limited (Block 9),Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
EGYPTIAN GENERAL PETROLEUM COMPANY,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
ENI IRAQ B.V.,Ministry of Finance,Corporate Income tax,Yes,Yes,Zubair,USD,,No,,,"Corporate income tax is reported by project rather than by company. The company name reported in this section is the field operator, however the tax amount reported relates to the entire field consortium, which consists of ENI Iraq B.V., Occidental (currently Basra Oil Company) and Kogas Zubair.",Iraq,IRQ,2017,1/1/2017,12/31/2017
ENI IRAQ B.V.,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
ENI Trading,Ministry of Finance,Crude oil export revenue,No,No,,USD,,No,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
