Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Alpha Logging & Wood Processing Inc.,Environmental Protection Authority - EPA,"Other significant payments (> 10,000 USD)",No,No,Not applicable,USD,107935000.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Civil Aviation Authority -LCAA,Aircraft Inspection Fees,No,No,Not applicable,USD,172696000.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Annual Social Contribution (County & Community),No,No,Not applicable,USD,,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Area Fee,No,No,Not applicable,USD,,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Auction Fee,No,No,Not applicable,USD,180000.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Bid Premium,No,No,Not applicable,USD,84971794.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Block Inspection Fees,No,No,Not applicable,USD,1504953000.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Chain of Custody Management Fee (PSI),No,No,Not applicable,USD,1163457.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Contribution via GOL to University Depts (UL etc.),No,No,Not applicable,USD,248758485.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Corporate Profits Tax / Turnover Tax,No,No,Not applicable,USD,994000000.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Customs User Fees,No,No,Not applicable,USD,1188049286.61,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Dividends to GOL,No,No,Not applicable,USD,362151864.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,ECOWAS Trade Levy (ETL),No,No,Not applicable,USD,511766024.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Forest Product Fee (processed materials),No,No,Not applicable,USD,750577070.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,GOL Fines,No,No,Not applicable,USD,4329592462.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,GST,No,No,Not applicable,USD,5470000000.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Import Levy,No,No,Not applicable,USD,2554280326.88,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Log Export Fees,No,No,Not applicable,USD,43414505.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Minerals License fees,No,No,Not applicable,USD,1779775000.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Non Timber Forest Products (local & export collections),No,No,Not applicable,USD,939155000.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Other administrative fees,No,No,Not applicable,USD,,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Pre-Shipment / Destination Inspection (GOL's share),No,No,Not applicable,USD,4600.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Research Vessels Tonnage Tax,No,No,Not applicable,USD,,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Resident Permit Fee,No,No,Not applicable,USD,,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Royalty,No,No,Not applicable,USD,,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Rubber sales tax,No,No,Not applicable,USD,,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Sawmill Permit Fees,No,No,Not applicable,USD,,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Scientific Research Fund,No,No,Not applicable,USD,1562910.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Signature Fees/Signing Bonus,No,No,Not applicable,USD,1637972.0,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Stumpage Fee,No,No,Not applicable,USD,1900894.75,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Supply Vessel Annual Tonnage Tax,No,No,Not applicable,USD,2533471.99,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Surface Rental,No,No,Not applicable,USD,3202712.55,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
Alpha Logging & Wood Processing Inc.,Liberia Revenue Authority -LRA,Timber Export Licence Fees,No,No,Not applicable,USD,3218019.75,No,Not applicable,Not applicable,,Liberia,LBR,2018,7/1/2017,6/30/2018
