Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
AMBATOVY MINERALS S.A.,Autres,Dons (Contribution Volontaire) en nature (Evaluation expert ou sur justificatifs),Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,18995243.0,Yes,,,see appendix 15,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Autres,Organisation sanitaire d'entreprise,Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,44623604.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Bureau du Cadastre Minier de Madagascar,Frais d’administration minière,Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,5656714.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Caisse Nationale de Prévoyance Sociale,CNAPS,Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Douanes,Droits de douanes et Taxes sur les produits pétroliers (TPP),Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,85523607.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Douanes,Redevance sur usage de la route (RUR),Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,6073.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Douanes,TVA à l’importation et TVA sur les produits pétroliers (TVP),Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,1471747490.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Impôts,Autres Impôts d'Etat (nature et montant indiqués en annexe),Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,186593512.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Impôts,Droits d’enregistrement bail,Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,191958.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Impôts,Droits d’enregistrement des actes,Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,69347798000.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Impôts,IR non résident ou TFT,Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,61432774000.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Impôts,Impôts sur les revenus (IR),Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,374800.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Impôts,TVA ayant fait l'objet d'un refus de remboursement,Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,32452633.26,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Impôts,TVA nette (Montant réellement payée à l'Administration Fiscale - le cas échéant),Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,22619.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Direction Générale des Impôts,TVA non remboursée,Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,51435524990.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Office Nationale pour l'Environnement,Frais d’évaluation et de suivi de l’impact environnemental,Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
AMBATOVY MINERALS S.A.,Port: Société de Manutention des Marchandises Conventionnels et/ou Madagascar International Container Terminal Services Limited,Droit de port sur les marchandises exportées,Yes,Yes,Ambatovy - AMBATOVY MINERALS S.A.,MGA,2468248471.0,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
CLASSIC REAL STONES SARL,Autres,Autres paiements communs (nature et montant indiqués en annexe),No,No,,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
CLASSIC REAL STONES SARL,Bureau du Cadastre Minier de Madagascar,Frais d'instruction (BCMM),No,No,,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
CLASSIC REAL STONES SARL,Bureau du Cadastre Minier de Madagascar,Frais d’administration minière,No,No,,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
CLASSIC REAL STONES SARL,Caisse Nationale de Prévoyance Sociale,CNAPS,No,No,,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
CLASSIC REAL STONES SARL,Direction Générale des Douanes,Droits de douanes et Taxes sur les produits pétroliers (TPP),No,No,,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
CLASSIC REAL STONES SARL,Direction Générale des Douanes,TVA à l’importation et TVA sur les produits pétroliers (TVP),No,No,,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
CLASSIC REAL STONES SARL,Direction Générale des Impôts,Droits d’enregistrement des actes,No,No,,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
CLASSIC REAL STONES SARL,Direction Générale des Impôts,Impôts sur les revenus (IR),No,No,,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
CLASSIC REAL STONES SARL,Direction Générale des Impôts,TVA nette (Montant réellement payée à l'Administration Fiscale - le cas échéant),No,No,,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
DYNATEC MADAGASCAR S.A,Administration des Domaines,Redevances domaniales,Yes,Yes,Ambatovy - DYNATEC MADAGASCAR S.A,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
DYNATEC MADAGASCAR S.A,Autres,Autres impôts locaux (nature et montant indiqués en annexe),Yes,Yes,Ambatovy - DYNATEC MADAGASCAR S.A,MGA,,No,,,,Madagascar,MDG,2017,1/1/2017,12/31/2017
