Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
AGRINEQ - SA,Direction du Trésor et de la Comptabilité Publique (DGTCP),Autre taxes douanières,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
AGRINEQ - SA,Direction du Trésor et de la Comptabilité Publique (DGTCP),Droits Fiscal à l'importation (DFI),No,No,,MRO,8700000.0,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
AGRINEQ - SA,Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,12000.0,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
AGRINEQ - SA,Direction du Trésor et de la Comptabilité Publique (DGTCP),TVA -EXT,No,No,,MRO,1144562241.0,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
AURA ENERGY LIMITED,Direction du Trésor et de la Comptabilité Publique (DGTCP),Autre taxes douanières,No,No,,MRO,125000.0,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
AURA ENERGY LIMITED,Direction du Trésor et de la Comptabilité Publique (DGTCP),Droits Fiscal à l'importation (DFI),No,No,,MRO,79081228.0,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
AURA ENERGY LIMITED,Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,1981611096.0,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
AURA ENERGY LIMITED,Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevance Superficiaire,No,No,,MRO,7556036672.0,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
AURA ENERGY LIMITED,Direction du Trésor et de la Comptabilité Publique (DGTCP),TVA -EXT,No,No,,MRO,-4311002653.0,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
AURA ENERGY LIMITED,Direction du Trésor et de la Comptabilité Publique (DGTCP),Taxe Rémunératoire,No,No,,MRO,-13561187430.0,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
CURVE CAPITAL VENTURE,Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
EL Aouj Mining Company SA,Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
EL Aouj Mining Company SA,Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevance Superficiaire,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Ferroquartz Mauritania,Direction du Trésor et de la Comptabilité Publique (DGTCP),Autre taxes douanières,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Ferroquartz Mauritania,Direction du Trésor et de la Comptabilité Publique (DGTCP),Droits Fiscal à l'importation (DFI),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Ferroquartz Mauritania,Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Ferroquartz Mauritania,Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevance Superficiaire,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Ferroquartz Mauritania,Direction du Trésor et de la Comptabilité Publique (DGTCP),TVA -EXT,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Kosmos Energy,Direction du Trésor et de la Comptabilité Publique (DGTCP),BIC ( y compris les acomptes provisionnels) (Mines),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Kosmos Energy,Direction du Trésor et de la Comptabilité Publique (DGTCP),Commission Environnementale,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Kosmos Energy,Direction du Trésor et de la Comptabilité Publique (DGTCP),Contributions au Fonds de Formation (Contribution administrative),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Kosmos Energy,Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Kosmos Energy,Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevances Superficiaires,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Kosmos Energy,Direction du Trésor et de la Comptabilité Publique (DGTCP),Retenues à la source (hors retenues sur salaires),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
MCM,Direction du Trésor et de la Comptabilité Publique (DGTCP),Autre taxes douanières,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
MCM,Direction du Trésor et de la Comptabilité Publique (DGTCP),Autres flux de paiements significatifs (Activités minières),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
MCM,Direction du Trésor et de la Comptabilité Publique (DGTCP),BIC ( y compris les acomptes provisionnels) (Mines),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
MCM,Direction du Trésor et de la Comptabilité Publique (DGTCP),Droits Fiscal à l'importation (DFI),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
MCM,Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
MCM,Direction du Trésor et de la Comptabilité Publique (DGTCP),Prime intéressement DGI,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
MCM,Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevance Superficiaire,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
MCM,Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevance d'exploitation,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
MCM,Direction du Trésor et de la Comptabilité Publique (DGTCP),TVA -EXT,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Mauritanie Ressources Limited Sarl,Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevance Superficiaire,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Petronas,Direction du Trésor et de la Comptabilité Publique (DGTCP),Commission Environnementale,Yes,Yes,Chinguetti Field,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Petronas,Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Petronas,Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevances Superficiaires,Yes,Yes,Chinguetti Field,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Petronas,Direction du Trésor et de la Comptabilité Publique (DGTCP),Retenues à la source (hors retenues sur salaires),Yes,Yes,Chinguetti Field,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Petronas,Direction du Trésor et de la Comptabilité Publique (DGTCP),Régime Spécial d’Imposition,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Petronas,Société Mauritanienne des Hydrocarbures et du Patrimoine Minier (SMHPM),Profit-Oil Etat-Puissance Publique - Pétrole (bbl),Yes,Yes,Chinguetti Field,,,Yes,267060.44,Barrels,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Petronas,Société Mauritanienne des Hydrocarbures et du Patrimoine Minier (SMHPM),Profit-Oil et Cost-Oil Etat-Associé - Pétrole (bbl),Yes,Yes,Chinguetti Field,,,Yes,173199.03,Barrels,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Mauritanienne des Hydrocarbures et du Patrimoine Minier (SMHPM),Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Mauritanienne des Hydrocarbures et du Patrimoine Minier (SMHPM),Direction du Trésor et de la Comptabilité Publique (DGTCP),Profit Oil Etat - Puissance Publique,Yes,Yes,Chinguetti Field,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),Direction du Trésor et de la Comptabilité Publique (DGTCP),Autre taxes douanières,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),Direction du Trésor et de la Comptabilité Publique (DGTCP),Crédit de TVA imputé sur la Redevance Unique (en signe-),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),Direction du Trésor et de la Comptabilité Publique (DGTCP),Droits Fiscal à l'importation (DFI),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt sur le Revenu des Capitaux Mobiliers (IRCM),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevance Superficiaire,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevance annuelle unique (Montant brut),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),Direction du Trésor et de la Comptabilité Publique (DGTCP),Remboursements (en signe -),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),Direction du Trésor et de la Comptabilité Publique (DGTCP),TVA - INT,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),Direction du Trésor et de la Comptabilité Publique (DGTCP),TVA -EXT,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société d’Extraction du Nord d’Inchiri SA (SENI Sa),Direction du Trésor et de la Comptabilité Publique (DGTCP),Autre taxes douanières,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société d’Extraction du Nord d’Inchiri SA (SENI Sa),Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société d’Extraction du Nord d’Inchiri SA (SENI Sa),Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevance Superficiaire,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société d’Extraction du Nord d’Inchiri SA (SENI Sa),Direction du Trésor et de la Comptabilité Publique (DGTCP),Taxe Rémunératoire,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Sonatrach (SIPEX),Direction du Trésor et de la Comptabilité Publique (DGTCP),Contributions au Fonds de Formation (Contribution administrative),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Sonatrach (SIPEX),Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Sonatrach (SIPEX),Direction du Trésor et de la Comptabilité Publique (DGTCP),Régime Spécial d’Imposition,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Sphere Mauritania sa,Direction du Trésor et de la Comptabilité Publique (DGTCP),Autre taxes douanières,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Sphere Mauritania sa,Direction du Trésor et de la Comptabilité Publique (DGTCP),Droits Fiscal à l'importation (DFI),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Sphere Mauritania sa,Direction du Trésor et de la Comptabilité Publique (DGTCP),Impôt minimum forfaitaire (IMF),No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Sphere Mauritania sa,Direction du Trésor et de la Comptabilité Publique (DGTCP),Redevance Superficiaire,No,No,,MRO,,No,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
