Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Agnico Eagle,Servicio de Administración Tributaria,Derecho adicional sobre minería,No,No,,MXN,5159191433.0,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Agnico Eagle,Servicio de Administración Tributaria,Derecho especial sobre minería,No,No,,MXN,16020157087.0,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Agnico Eagle,Servicio de Administración Tributaria,Derecho extraordinario sobre minería,No,No,,MXN,180627462998.47,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Agnico Eagle,Servicio de Administración Tributaria,Derecho sobre minería,No,No,,MXN,368628.0,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Agnico Eagle,Servicio de Administración Tributaria,Impuesto sobre la Renta (ISR),No,No,,MXN,,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Alamos Gold,Servicio de Administración Tributaria,Derecho adicional sobre minería,No,No,,MXN,11581111.86,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Alamos Gold,Servicio de Administración Tributaria,Derecho especial sobre minería,No,No,,MXN,21191.29,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Alamos Gold,Servicio de Administración Tributaria,Derecho extraordinario sobre minería,No,No,,MXN,1668870000.0,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Alamos Gold,Servicio de Administración Tributaria,Derecho sobre minería,No,No,,MXN,131490.0,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Alamos Gold,Servicio de Administración Tributaria,Impuesto sobre la Renta (ISR),No,No,,MXN,96024753.0,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Argonaut Gold,Servicio de Administración Tributaria,Derecho adicional sobre minería,No,No,,MXN,,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Argonaut Gold,Servicio de Administración Tributaria,Derecho especial sobre minería,No,No,,MXN,,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Argonaut Gold,Servicio de Administración Tributaria,Derecho extraordinario sobre minería,No,No,,MXN,,,,,,Mexico,MEX,2018,1/1/2018,12/31/2018
