Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
ADAE LLC,General Agency for Health and Social Insurance,Social and health insurance charges paid from entity,Yes,No,,MNT,20357.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ADAE LLC,General Department of Taxation,Value Added Tax (paid to MTA),No,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ADAE LLC,Local administrative,Contribution at rate of 50% to Environment protection expense to the Special Account,Yes,No,,MNT,1186423290.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ADAE LLC,Local governor department,Land fee,Yes,No,,MNT,900795.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ADAE LLC,Mineral Resources and Petroleum Authority,License fee for exploitation and exploration of mineral resources,Yes,No,,MNT,5000000.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,General Agency for Health and Social Insurance,Social and health insurance charges paid from entity,Yes,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,General Agency for Labor Welfare Services,Workplace payment of foreign specialist and labour force,No,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,General Department of Taxation,Corporate income tax,No,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,General Department of Taxation,Fee and extra charges for exploitation of mineral resources,Yes,No,,MNT,4999163268.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,Local governor department,Fee for water use,Yes,No,,MNT,833733650.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,Local governor department,Land fee,Yes,No,,MNT,881470480.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,Local governor department,Tax on vehicles and self moving mechanisms,Yes,No,,MNT,149314320.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,Mineral Resources and Petroleum Authority,License fee for exploitation and exploration of mineral resources,Yes,No,,MNT,243803402.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,Mineral Resources and Petroleum Authority,"Payment for deposit, exploration of which was carried out by the Government",Yes,No,,MNT,578351583.72,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,Mongolian Customs General Administration,Customs service fee,No,No,,MNT,531930000.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,Mongolian Customs General Administration,Customs tax,No,No,,MNT,450000000.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AGM Mining LLC,Mongolian Customs General Administration,Value Added Tax (Customs),No,No,,MNT,27584807288.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,General Agency for Health and Social Insurance,Social and health insurance charges paid from entity,Yes,No,,MNT,37043081.9,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,General Agency for Labor Welfare Services,Workplace payment of foreign specialist and labour force,No,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,General Department of Taxation,Fee and extra charges for exploitation of mineral resources,Yes,No,,MNT,13829804.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,General Department of Taxation,Penalty,No,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,Local governor department,Fee for water use,Yes,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,Local governor department,Land fee,Yes,No,,MNT,37229920.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,Mineral Resources and Petroleum Authority,License fee for exploitation and exploration of mineral resources,Yes,No,,MNT,40113174.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,"Ministry of Environment, Nature and Tourism",Contribution at rate of 50% to Environment protection expense to the Special Account,Yes,No,,MNT,13341660.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,Mongolian Customs General Administration,Customs service fee,No,No,,MNT,20257100.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,Mongolian Customs General Administration,Customs tax,No,No,,MNT,834263.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,Mongolian Customs General Administration,Value Added Tax (Customs),No,No,,MNT,37402123.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,Other,Other,No,No,,MNT,38184968.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,State administrative body,Monetary donation and assistance paid to state entities,No,No,,MNT,423988419.96,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
ALGT LLC,State administrative body,Non-monetary donation and assistance paid to state entities,No,No,,MNT,2960543200.54,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AQSora LLC,General Department of Taxation,Penalty,No,No,,MNT,610981251.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AQSora LLC,General Department of Taxation,Value Added Tax (paid to MTA),No,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AQSora LLC,Mineral Resources and Petroleum Authority,License fee for exploitation and exploration of mineral resources,Yes,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AQSora LLC,Mongolian Customs General Administration,Customs service fee,No,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AQSora LLC,Mongolian Customs General Administration,Customs tax,No,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AQSora LLC,Mongolian Customs General Administration,Value Added Tax (Customs),No,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AURUM METALS LLC,General Agency for Health and Social Insurance,Social and health insurance charges paid from entity,Yes,No,,MNT,-654155961929.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AURUM METALS LLC,Local governor department,Land fee,Yes,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AURUM METALS LLC,Local governor department,Real estate tax,Yes,No,,MNT,378764805.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
AURUM METALS LLC,Mineral Resources and Petroleum Authority,License fee for exploitation and exploration of mineral resources,Yes,No,,MNT,72165821.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
Adamas mining LLC,General Agency for Health and Social Insurance,Social and health insurance charges paid from entity,Yes,No,,MNT,1715724000.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
Adamas mining LLC,General Department of Taxation,Penalty,No,No,,MNT,132727579.87,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
Adamas mining LLC,Mineral Resources and Petroleum Authority,License fee for exploitation and exploration of mineral resources,Yes,No,,MNT,,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
Aduunchuluun JSC,General Agency for Health and Social Insurance,Social and health insurance charges paid from entity,Yes,No,,MNT,226148.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
Aduunchuluun JSC,General Department of Taxation,Corporate income tax,No,No,,MNT,89924.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
Aduunchuluun JSC,General Department of Taxation,Fee and extra charges for exploitation of mineral resources,Yes,No,,MNT,54000000.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
Aduunchuluun JSC,General Department of Taxation,Value Added Tax (paid to MTA),No,No,,MNT,186599582.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
Aduunchuluun JSC,Local administrative,Contribution at rate of 50% to Environment protection expense to the Special Account,Yes,No,,MNT,30863794.0,No,0,,,Mongolia,MNG,2018,1/1/2018,12/31/2018
