Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
ADAE LLC,Customs General Administration,Customs duty,No,No,,MNT,5108167768.97,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Customs General Administration,Value Added Tax (paid to Mongolian Customs),No,No,,MNT,2000.0,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Donations and supports received by government entities,Donations to Government agencies,No,No,,MNT,3086.0,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Mineral Resources and Petroleum Authority of Mongolia,License fee for exploitation and exploration of mineral resources,Yes,No,,MNT,1230000.0,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Mineral Resources and Petroleum Authority of Mongolia,Recovery,No,No,,MNT,10800.0,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Ministry of Environment and Tourism,In-kind contribution at rate of 50% to Environmental protection special account,No,No,,MNT,3775232.33,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Ministry of Labor and Social Protection,Payment for recruiting foreign experts and workers,No,No,,MNT,107357802.0,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Other,Others,No,No,,MNT,242944.0,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Other,Penalty,No,No,,MNT,3403108263.6,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Social Insurance General Office,Social and health insurance contribution by companies,No,No,,MNT,5000000.0,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Subnational level,Fee for water use,No,No,,MNT,,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Subnational level,Land fee,No,No,,MNT,,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
ADAE LLC,Subnational level,Tax on vehicle and self-moving mechanisms,No,No,,MNT,683720.0,No,,,,Mongolia,MNG,2019,1/1/2019,12/31/2019
