Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Africa Great Wall Mining Development Company,Tax Revenue Authority,IPM - Mining royalties,No,No,,MZN,81350525.0,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Africa Great Wall Mining Development Company,Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Africa Great Wall Mining Development Company,Tax Revenue Authority,IRPS,No,No,,MZN,530648972.46,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Africa Great Wall Mining Development Company,Tax Revenue Authority,ISS - Mining surface tax,No,No,,MZN,112070960.0,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Africa Great Wall Mining Development Company,Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,29593891.06,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"CINAC - CIMENTOS DE NACALA, SA",Tax Revenue Authority,IPM - Mining royalties,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"CINAC - CIMENTOS DE NACALA, SA",Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"CINAC - CIMENTOS DE NACALA, SA",Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"CINAC - CIMENTOS DE NACALA, SA",Tax Revenue Authority,ISS - Mining surface tax,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"CINAC - CIMENTOS DE NACALA, SA",Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Cimento Nacional, Lda",Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Cimento Nacional, Lda",Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Cimento Nacional, Lda",Tax Revenue Authority,ISS - Mining surface tax,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Cimento Nacional, Lda",Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Cimentos de Moçambique,Tax Revenue Authority,IPM - Mining royalties,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Cimentos de Moçambique,Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Cimentos de Moçambique,Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Cimentos de Moçambique,Tax Revenue Authority,ISS - Mining surface tax,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Cimentos de Moçambique,Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Companhia Moçambicana de Gasoduto, S.A. (CMG)",Institute for Management of State Shareholdings,Dividends,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Companhia Moçambicana de Gasoduto, S.A. (CMG)",Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Companhia Moçambicana de Gasoduto, S.A. (CMG)",Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Companhia Moçambicana de Gasoduto, S.A. (CMG)",Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Companhia Moçambicana de Hidrocarbonetos (CMH),Institute for Management of State Shareholdings,Dividends,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Companhia Moçambicana de Hidrocarbonetos (CMH),Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Companhia Moçambicana de Hidrocarbonetos (CMH),Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Companhia Moçambicana de Hidrocarbonetos (CMH),Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"ENH-KOGAS, S.A",Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"ENH-KOGAS, S.A",Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"ENH-KOGAS, S.A",Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Empresa Moçambicana de Exploração Mineira,Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Empresa Moçambicana de Exploração Mineira,Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Empresa Moçambicana de Exploração Mineira,Tax Revenue Authority,ISS - Mining surface tax,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Empresa Moçambicana de Exploração Mineira,Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Empresa Nacional de Hidrocarbonetos, EP (ENH)",Institute for Management of State Shareholdings,Dividends,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Empresa Nacional de Hidrocarbonetos, EP (ENH)",Tax Revenue Authority,IPP- Oil/gas royalty,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Empresa Nacional de Hidrocarbonetos, EP (ENH)",Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Empresa Nacional de Hidrocarbonetos, EP (ENH)",Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Empresa Nacional de Hidrocarbonetos, EP (ENH)",Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Eni Mozambico S.p.A,Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Eni Mozambico S.p.A,Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
ExxonMobil,Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
ExxonMobil,Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
ExxonMobil,Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Fábrica de Xaropes e Refrigerantes Vumba,Tax Revenue Authority,IPM - Mining royalties,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Fábrica de Xaropes e Refrigerantes Vumba,Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Fábrica de Xaropes e Refrigerantes Vumba,Tax Revenue Authority,IRPS,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Fábrica de Xaropes e Refrigerantes Vumba,Tax Revenue Authority,ISS - Mining surface tax,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
Fábrica de Xaropes e Refrigerantes Vumba,Tax Revenue Authority,M/B Geral- Other taxes,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Haiyu Mozambique Mining Co, Lda",Tax Revenue Authority,IPM - Mining royalties,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
"Haiyu Mozambique Mining Co, Lda",Tax Revenue Authority,IRPC,No,No,,MZN,,No,,,,Mozambique,MOZ,2019,1/1/2019,12/31/2019
