Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
1 1 1,Internal Revenue Department (IRD),Commercial Tax,No,No,,MMK,81640.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
1 1 1,Internal Revenue Department (IRD),Corporate Income Tax,No,No,,MMK,94750.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
1 1 1,Myanmar Gems Enterprise,Commercial Tax - 5% (EURO Sales),No,No,,MMK,25265.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
1 1 1,Myanmar Gems Enterprise,"Incentive fees 1%, 2%",No,No,,MMK,172278.15,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
1 1 1,Myanmar Gems Enterprise,Penalties for cancelled sales,No,No,,MMK,39.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
1 1 1,Myanmar Gems Enterprise,"Royalties - Production (20% Jade,ruby and saphire, 10% other Gems)",No,No,,MMK,507935.66,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
1 1 1,Myanmar Gems Enterprise,Sale Split,No,No,,MMK,15160.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
1 1 1,Myanmar Gems Enterprise,"Service Fees Euro Sales - Raw Materials 3%, Added Value 1%",No,No,,MMK,217700.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
1 1 1,Myanmar Gems Enterprise,"Specific Goods Tax - Jade 20%, Gems 15%, 5 % Value added for finish goods",No,No,,MMK,65279.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
24 HOUR MINING & INDUSTRY COMPANY LIMITED,Department of Mines (DOM),Dead Rent Fees,No,No,,MMK,914785.47,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
24 HOUR MINING & INDUSTRY COMPANY LIMITED,Department of Mines (DOM),Royalties,No,No,,MMK,12700.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
24 HOUR MINING & INDUSTRY COMPANY LIMITED,ME1 & ME2,Application Fee,No,No,,MMK,8875.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
24 HOUR MINING & INDUSTRY COMPANY LIMITED,ME1 & ME2,Production Split,No,No,,MMK,268300.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
80000,Myanmar Gems Enterprise,Penalties for cancelled sales,No,No,,MMK,,,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
80000,Myanmar Gems Enterprise,"Service Fees Euro Sales - Raw Materials 3%, Added Value 1%",No,No,,MMK,451375460.0,,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
80000,Myanmar Gems Enterprise,"Specific Goods Tax - Jade 20%, Gems 15%, 5 % Value added for finish goods",No,No,,MMK,135000.0,,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
"A & A NATURAL RESOURCES DEVELOPMENT CO., LTD",Internal Revenue Department (IRD),Corporate Income Tax,No,No,,MMK,2000.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
A K N K,Myanmar Gems Enterprise,"Royalties - Production (20% Jade,ruby and saphire, 10% other Gems)",No,No,,MMK,129580.0,No,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
