Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
A&B Global Strategy Limited,Federal Inland Revenue Service,CIT,No,No,,USD,33978808.01,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
A&B Global Strategy Limited,Federal Inland Revenue Service,Education Tax (EDT),No,No,,USD,175000.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
A&B Global Strategy Limited,Federal Inland Revenue Service,VAT,No,No,,USD,313488.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
A&B Global Strategy Limited,Federal Inland Revenue Service,Withholding Tax(WHT),No,No,,USD,41218116.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
A&B Global Strategy Limited,Mines Inspectorate Department,Royalty,Yes,Yes,,USD,42279930.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
A&B Global Strategy Limited,Mining Cadastral Office,Mining titles(s) annual service fees,Yes,Yes,,USD,301464969.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Department of Petroleum Resources,CONCESSION RENTAL,Yes,Yes,"Production Sharing Contract- OML 123, 129",USD,82060104.5,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Department of Petroleum Resources,"GAS FLARE
PENALTY",Yes,Yes,"Production Sharing Contract- OML 123, 132",USD,626.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Department of Petroleum Resources,ROYALTY (GAS),Yes,Yes,"Production Sharing Contract- OML 123, 126",USD,10737305317.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Department of Petroleum Resources,ROYALTY (OIL),Yes,Yes,"Production Sharing Contract- OML 123, 125",USD,13879429323.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Department of Petroleum Resources,SIGNATURE BONUS,Yes,Yes,"Production Sharing Contract- OML 123, 136",USD,340553350.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Federal Inland Revenue Service (for Oil & Gas),CGT,Yes,Yes,"Production Sharing Contract- OML 123, 134",USD,,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Federal Inland Revenue Service (for Oil & Gas),CIT,Yes,Yes,"Production Sharing Contract- OML 123, 127",USD,10000000.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Federal Inland Revenue Service (for Oil & Gas),"EDUCATIONAL
TAX",Yes,Yes,"Production Sharing Contract- OML 123, 128",USD,39107730.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Federal Inland Revenue Service (for Oil & Gas),PAYEE,Yes,Yes,"Production Sharing Contract- OML 123, 140",USD,3649572056.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Federal Inland Revenue Service (for Oil & Gas),PPT,Yes,Yes,"Production Sharing Contract- OML 123, 124",USD,4185000000.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Federal Inland Revenue Service (for Oil & Gas),VAT,Yes,Yes,"Production Sharing Contract- OML 123, 135",USD,611418204.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Federal Inland Revenue Service (for Oil & Gas),WHT,Yes,Yes,"Production Sharing Contract- OML 123, 139",USD,625000000.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Federal Ministry of Finance,NESS FEE,Yes,Yes,"Production Sharing Contract- OML 123, 138",USD,,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Niger Delta Development Commission,NDDC,Yes,Yes,"Production Sharing Contract- OML 123, 130",USD,2550523735.71,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Nigerian Content Development and Monitoring Board (NCDMB),NCDMB,Yes,Yes,"Production Sharing Contract- OML 123, 131",USD,2913030618.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Nigerian National Petroleum Corporation (NNPC),MISCELLANEOUS INCOME,Yes,Yes,"Production Sharing Contract- OML 123, 141",USD,5091591445.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
Addax Petroleum Development Nigeria Limited,Nigerian National Petroleum Corporation (NNPC),NLNG DIVIDENDS,Yes,Yes,"Production Sharing Contract- OML 123, 133",USD,290464738.0,No,,,,Nigeria,NGA,2018,1/1/2018,12/31/2018
