Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
A/S Norske Shell,The Norwegian Petroleum Directorate,C02-tax,No,No,,NOK,709411046.0,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
A/S Norske Shell,The Norwegian Petroleum Directorate,License fees (Area fee/Arealavgift),No,No,,NOK,944974791.0,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
A/S Norske Shell,The Norwegian Tax Directorate,Corporate Tax,No,No,,NOK,391203.0,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
A/S Norske Shell,The Norwegian Tax Directorate,Nox tax,No,No,,NOK,1900000.0,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Aker BP AS,The Norwegian Petroleum Directorate,C02-tax,No,No,,NOK,18157138727.0,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Aker BP AS,The Norwegian Petroleum Directorate,License fees (Area fee/Arealavgift),No,No,,NOK,,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Aker BP AS,The Norwegian Tax Directorate,Corporate Tax,No,No,,NOK,159687235487.93,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Aker BP AS,The Norwegian Tax Directorate,Nox tax,No,No,,NOK,143483695129.76,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Aker BP ASA,Directorate of Customs and Excise,Nox tax,No,No,,NOK,558917428.0,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Aker BP ASA,The Norwegian Petroleum Directorate,C02-tax,No,No,,NOK,80672838.62,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Aker BP ASA,The Norwegian Tax Directorate,Corporate Tax,No,No,,NOK,3904520.96,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Aker BP ASA,The Norwegian Tax Directorate,Nox tax,No,No,,NOK,629439.14,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Atlantic Petroleum Norge AS,Directorate of Customs and Excise,Nox tax,No,No,,NOK,,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Atlantic Petroleum Norge AS,The Norwegian Petroleum Directorate,C02-tax,No,No,,NOK,,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Atlantic Petroleum Norge AS,The Norwegian Tax Directorate,Corporate Tax,No,No,,NOK,,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Atlantic Petroleum Norge AS,The Norwegian Tax Directorate,Nox tax,No,No,,NOK,,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
BP Norge AS,Directorate of Customs and Excise,Nox tax,No,No,,NOK,,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
BP Norge AS,The Norwegian Petroleum Directorate,C02-tax,No,No,,NOK,,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
BP Norge AS,The Norwegian Tax Directorate,Corporate Tax,No,No,,NOK,,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
BP Norge AS,The Norwegian Tax Directorate,Nox tax,No,No,,NOK,,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
Bayerngas Norge AS,Directorate of Customs and Excise,Nox tax,No,No,,NOK,,,,,,Norway,NOR,2017,1/1/2017,12/31/2017
