Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Douanes et des Droits Indirects (DGDDI),Redevance informatique,No,No,,XAF,14568491.93,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Douanes et des Droits Indirects (DGDDI),Tarif Extérieur Commun (TEC),No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Douanes et des Droits Indirects (DGDDI),Taxe sur la valeur ajoutée (TVA-DGDDI),No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Hydrocarbures (DGH),Frais de formation,No,No,,XAF,40889891688.67,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Impôts et des Domaines (DGID),Centimes Additionnels (CAD),No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Impôts et des Domaines (DGID),Patente,No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Impôts et des Domaines (DGID),Redressements fiscaux/amendes et pénalités,No,No,,XAF,12451400.0,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Impôts et des Domaines (DGID),Taxe d'occupation des Locaux (y compris retenue à la source),No,No,,XAF,448000.0,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Impôts et des Domaines (DGID),Taxe régionale,No,No,,XAF,73000.0,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Impôts et des Domaines (DGID),Taxe sur les salaires (IRPP-TF-TA-FNH-TUS),No,No,,XAF,179000.0,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale des Impôts et des Domaines (DGID),Taxe sur les véhicules de tourisme des sociétés (TVTS),No,No,,XAF,1651426.0,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale du Trésor (DGT),"Profit Oil, Super Profit Oil, Excess Oil -en nature-",No,No,,USD,500000.0,Yes,2346,Barrels,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale du Trésor (DGT),Redevance minière proportionnelle -en nature-,No,No,,USD,858480.0,Yes,6756,Barrels,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale du Trésor (DGT),Redevance sur auto-consommation,No,No,,XAF,2232017.02,Yes,9102,Barrels,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRICA OIL AND GAS CORPORATION (AOGC),Direction Générale du Trésor (DGT),Redevance sur auto-consommation,No,No,,XAF,549860.0,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRIWOOD INDUSTRIE,Direction Générale des Douanes et des Droits Indirects (DGDDI),Redevance bois (RDB),No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRIWOOD INDUSTRIE,Direction Générale des Douanes et des Droits Indirects (DGDDI),Redevance informatique,No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRIWOOD INDUSTRIE,Direction Générale des Douanes et des Droits Indirects (DGDDI),Tarif Extérieur Commun (TEC),No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRIWOOD INDUSTRIE,Direction Générale des Douanes et des Droits Indirects (DGDDI),Taxe sur la valeur ajoutée (TVA-DGDDI),No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRIWOOD INDUSTRIE,Direction Générale du Trésor (DGT),Taxe d'abattage,No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRIWOOD INDUSTRIE,Direction Générale du Trésor (DGT),Taxe de superficie,No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
AFRIWOOD INDUSTRIE,Ministère de l'Economie Forestière et du Développement Durables (MEFDD),Amendes et infractions,No,No,,XAF,,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
ASIA CONGO INDUSTRIES,Direction Générale des Douanes et des Droits Indirects (DGDDI),Redevance bois (RDB),No,No,,XAF,905361652.0,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
ASIA CONGO INDUSTRIES,Direction Générale des Douanes et des Droits Indirects (DGDDI),Redevance informatique,No,No,,XAF,15573905932.0,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
ASIA CONGO INDUSTRIES,Direction Générale des Douanes et des Droits Indirects (DGDDI),Tarif Extérieur Commun (TEC),No,No,,XAF,15998140251.0,,,,,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
