Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
African Investment Group SA (AIG SA),Direction Générale des Douanes (DGD),Droits de douane,No,No,,XOF,7416000.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
African Investment Group SA (AIG SA),Direction Générale des Douanes (DGD),Prélèvement communautaire CEDEAO,No,No,,XOF,7436127.95,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
African Investment Group SA (AIG SA),Direction Générale des Douanes (DGD),Prélèvement communautaire solidaire UEMOA,No,No,,XOF,332700000.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
African Investment Group SA (AIG SA),Direction Générale des Douanes (DGD),Prélèvement pour le Conseil Sénégalais des Chargeurs (COSEC),No,No,,XOF,1483104178.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
African Investment Group SA (AIG SA),Direction Générale des Douanes (DGD),Redevance statistique UEMOA,No,No,,XOF,2767500000.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
African Investment Group SA (AIG SA),Direction Générale des Douanes (DGD),Taxe sur la valeur ajoutée,No,No,,XOF,3688270936.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
African Investment Group SA (AIG SA),Direction Générale des Impôts et des Domaines (DGID),Impôt sur les sociétés (bénéfices non pétroliers/miniers ),No,No,,XOF,413500000.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
African Investment Group SA (AIG SA),Direction des Mines et de la Géologie (DMG),Droits d'entrée fixes,Yes,No,,XOF,6499415318.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
African Investment Group SA (AIG SA),Direction des Mines et de la Géologie (DMG),Redevance superficiaire,Yes,No,,XOF,7046174882.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Agem Sénégal Exploration SUARL (AGEM),Autres bénéficiaires (paiements environnementaux),Autres dépenses environnementales,Yes,No,,XOF,35287247000.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Agem Sénégal Exploration SUARL (AGEM),Direction Générale des Douanes (DGD),Droits de douane,No,No,,XOF,450000.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Agem Sénégal Exploration SUARL (AGEM),Direction Générale des Douanes (DGD),Prélèvement communautaire CEDEAO,No,No,,XOF,23178861.72,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Agem Sénégal Exploration SUARL (AGEM),Direction Générale des Douanes (DGD),Prélèvement communautaire solidaire UEMOA,No,No,,XOF,152939883876.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Agem Sénégal Exploration SUARL (AGEM),Direction Générale des Douanes (DGD),Redevance statistique UEMOA,No,No,,XOF,155040000000.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Agem Sénégal Exploration SUARL (AGEM),Direction Générale des Douanes (DGD),Taxe sur la valeur ajoutée,No,No,,XOF,553038808.44,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Agem Sénégal Exploration SUARL (AGEM),Direction Générale des Impôts et des Domaines (DGID),Impôt sur le revenu des valeurs mobilières,No,No,,XOF,662195642.18,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Agem Sénégal Exploration SUARL (AGEM),"Direction des Eaux, Forêts, Chasses et Conservation des Sols (DEFCCS)",Taxes d'abattage,Yes,No,,XOF,596344082.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Agem Sénégal Exploration SUARL (AGEM),Direction des Mines et de la Géologie (DMG),Appui institutionnel,Yes,No,,XOF,846184980.0,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
BP SENEGAL INVESTMENTS LIMITED (BP SENEGAL),Direction Générale des Douanes (DGD),Droits de douane,No,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
BP SENEGAL INVESTMENTS LIMITED (BP SENEGAL),Direction Générale des Douanes (DGD),Prélèvement communautaire CEDEAO,No,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
BP SENEGAL INVESTMENTS LIMITED (BP SENEGAL),Direction Générale des Douanes (DGD),Prélèvement communautaire solidaire UEMOA,No,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
BP SENEGAL INVESTMENTS LIMITED (BP SENEGAL),Direction Générale des Douanes (DGD),Redevance statistique UEMOA,No,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
BP SENEGAL INVESTMENTS LIMITED (BP SENEGAL),Direction Générale des Douanes (DGD),Taxe sur la valeur ajoutée,No,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
BP SENEGAL INVESTMENTS LIMITED (BP SENEGAL),Société des Pétroles du Sénégal (PETROSEN),Appui à l'équipement,Yes,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
BP SENEGAL INVESTMENTS LIMITED (BP SENEGAL),Société des Pétroles du Sénégal (PETROSEN),Appui à la formation,Yes,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Capricorn Senegal Limited (Capricorn),Direction Générale des Douanes (DGD),Prélèvement communautaire CEDEAO,No,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Capricorn Senegal Limited (Capricorn),Direction Générale des Douanes (DGD),Prélèvement communautaire solidaire UEMOA,No,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Capricorn Senegal Limited (Capricorn),Direction Générale des Douanes (DGD),Redevance statistique UEMOA,No,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Capricorn Senegal Limited (Capricorn),Direction Générale des Impôts et des Domaines (DGID),Redressements fiscaux,No,No,,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction Générale des Douanes (DGD),Droits de douane,No,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction Générale des Douanes (DGD),Prélèvement communautaire CEDEAO,No,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction Générale des Douanes (DGD),Prélèvement communautaire solidaire UEMOA,No,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction Générale des Douanes (DGD),Prélèvement pour le Conseil Sénégalais des Chargeurs (COSEC),No,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction Générale des Douanes (DGD),Redevance statistique UEMOA,No,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction Générale des Douanes (DGD),Taxe d'enregistrement des véhicules,No,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction Générale des Douanes (DGD),Taxe sur la valeur ajoutée,No,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction Générale des Impôts et des Domaines (DGID),Impôt sur le revenu des valeurs mobilières,No,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction Générale des Impôts et des Domaines (DGID),Taxe spéciale sur le ciment,No,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction Générale des Impôts et des Domaines (DGID),Taxe sur la valeur ajoutée reversée,No,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Ciments du Sahel (CDS),Direction des Mines et de la Géologie (DMG),Redevance minière,Yes,Yes,Kirene,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Compagnie Générale d'Exploitation de Carrière (COGECA),Direction Générale de la Comptabilité Publique et du Trésor (DGCPT),Contribution économique locale (CEL VA et CEL VL),Yes,Yes,Diack/Bandia,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Compagnie Générale d'Exploitation de Carrière (COGECA),Direction Générale des Douanes (DGD),Droits de douane,No,Yes,Diack/Bandia,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Compagnie Générale d'Exploitation de Carrière (COGECA),Direction Générale des Douanes (DGD),Prélèvement communautaire CEDEAO,No,Yes,Diack/Bandia,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Compagnie Générale d'Exploitation de Carrière (COGECA),Direction Générale des Douanes (DGD),Prélèvement communautaire solidaire UEMOA,No,Yes,Diack/Bandia,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
Compagnie Générale d'Exploitation de Carrière (COGECA),Direction Générale des Douanes (DGD),Prélèvement pour le Conseil Sénégalais des Chargeurs (COSEC),No,Yes,Diack/Bandia,XOF,,No,,,,Senegal,SEN,2019,2019-01-01,2019-12-31
