Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Kosmos Energy Suriname,Ministry of Finance,Wage tax /Social Security premium,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
NV Grassalco,Ministry of Finance,custom duties,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
NV Grassalco,Ministry of Finance,proceeds from sales of gold (Payment in-kind),No,No,,SRD,,Yes,4960,oz,80% government share,Suriname,SUR,2017,2017-01-01,2017-12-31
Newmont Suriname LLC,Ministry of Finance,Concession fees,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Newmont Suriname LLC,Ministry of Finance,Mining royalties,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Newmont Suriname LLC,Ministry of Finance,Statistics rights,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Newmont Suriname LLC,Ministry of Finance,Wage tax /Social Security premium,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Newmont Suriname LLC,Ministry of Finance,corporate income tax,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Newmont Suriname LLC,Ministry of Finance,service tax,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Petronas Suriname E & P B.V.,Ministry of Finance,Wage tax /Social Security premium,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Rosebel Gold Mines N.V.,Ministry of Finance,Dividend,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Rosebel Gold Mines N.V.,Ministry of Finance,Mining royalties,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Rosebel Gold Mines N.V.,Ministry of Finance,Statistics rights,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Rosebel Gold Mines N.V.,Ministry of Finance,Wage tax /Social Security premium,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Rosebel Gold Mines N.V.,Ministry of Finance,corporate income tax,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Rosebel Gold Mines N.V.,Ministry of Finance,payment based on power agreement (special arrangement),No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Staatsolie Maatschappij Suriname NV,Ministry of Finance,Dividend,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Staatsolie Maatschappij Suriname NV,Ministry of Finance,Wage tax /Social Security premium,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Staatsolie Maatschappij Suriname NV,Ministry of Finance,corporate income tax,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
Tullow Suriname B.V.,Ministry of Finance,Wage tax /Social Security premium,No,No,,SRD,,No,,,,Suriname,SUR,2017,2017-01-01,2017-12-31
