Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
AFRICAN EXPLOSIVES (T) LTD.,Geita Town Council,Service Levy,Partially,No,,TZS,61507030.0,No,,,FY17/18 report did not provide revenue data by project,Tanzania,TZA,2018,2017-07-01,2018-06-30
AFRICAN EXPLOSIVES (T) LTD.,Kahama Town Council,Service Levy,Partially,No,,TZS,71139547.0,No,,,FY17/18 report did not provide revenue data by project,Tanzania,TZA,2018,2017-07-01,2018-06-30
AFRICAN EXPLOSIVES (T) LTD.,Kinondoni Municipal Council,"Other Local Taxes, Fees and Levies",Partially,No,,TZS,,No,,,FY17/18 report did not provide revenue data by project,Tanzania,TZA,2018,2017-07-01,2018-06-30
AFRICAN EXPLOSIVES (T) LTD.,Kinondoni Municipal Council,Service Levy,Partially,No,,TZS,,No,,,FY17/18 report did not provide revenue data by project,Tanzania,TZA,2018,2017-07-01,2018-06-30
AFRICAN EXPLOSIVES (T) LTD.,Kishapu District Council,"Other Local Taxes, Fees and Levies",Partially,No,,TZS,1001098885.63,No,,,FY17/18 report did not provide revenue data by project,Tanzania,TZA,2018,2017-07-01,2018-06-30
AFRICAN EXPLOSIVES (T) LTD.,Kishapu District Council,Service Levy,Partially,No,,TZS,1665649627.2,No,,,FY17/18 report did not provide revenue data by project,Tanzania,TZA,2018,2017-07-01,2018-06-30
AFRICAN EXPLOSIVES (T) LTD.,Local Goverment Authorities,Service Levy,Partially,No,,TZS,1302787406.0,No,,,FY17/18 report did not provide revenue data by project,Tanzania,TZA,2018,2017-07-01,2018-06-30
AFRICAN EXPLOSIVES (T) LTD.,Mbinga District Council,Service Levy,Partially,No,,TZS,1451188659.0,No,,,FY17/18 report did not provide revenue data by project,Tanzania,TZA,2018,2017-07-01,2018-06-30
AFRICAN EXPLOSIVES (T) LTD.,Ministry of Minerals,Annual rent fees,Partially,No,,TZS,3383572.0,No,,,FY17/18 report did not provide revenue data by project,Tanzania,TZA,2018,2017-07-01,2018-06-30
AFRICAN EXPLOSIVES (T) LTD.,Ministry of Minerals,Application and Process Fee,Partially,No,,TZS,13013127440.0,No,,,FY17/18 report did not provide revenue data by project,Tanzania,TZA,2018,2017-07-01,2018-06-30
