Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
COLAS,Direction Generale des Mines et de la Geologie (DGMG),Redevances Minieres,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
COLAS,Direction Generale des Mines et de la Geologie (DGMG),Redevances Superficiaires,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
CRYSTAL SARL,Caisse Nationale de Securite Sociale (CNSS),Cotisations sociales,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
CRYSTAL SARL,Commissariat des Douanes et Droits Indirects (CDDI),Droit de Douane,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
CRYSTAL SARL,Commissariat des Douanes et Droits Indirects (CDDI),Taxe sur la Valeur Ajoutee au cordon douanier,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
CRYSTAL SARL,Commissariat des Impots (CI),Impot Minimum Forfaitaire,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
CRYSTAL SARL,Commissariat des Impots (CI),Redressements fiscaux et penalites payes au CI,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
CRYSTAL SARL,Commissariat des Impots (CI),Taxe d'enlevement d'ordure,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
CRYSTAL SARL,Commissariat des Impots (CI),Taxe professionnelle,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
CRYSTAL SARL,Commissariat des Impots (CI),Taxe sur la Valeur Ajoutee,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
CRYSTAL SARL,Commissariat des Impots (CI),Taxes Foncieres,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Agence Nationale de Gestion de l'Environnement (ANGE),Taxe sur la delivrance de conformite environnementale,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Caisse Nationale de Securite Sociale (CNSS),Cotisations sociales,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Commissariat des Douanes et Droits Indirects (CDDI),Droit de Douane,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Commissariat des Douanes et Droits Indirects (CDDI),Taxe sur la Valeur Ajoutee au cordon douanier,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Commissariat des Impots (CI),Impot Minimum Forfaitaire,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Commissariat des Impots (CI),Impot sur le Revenu des Capitaux Mobiliers,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Commissariat des Impots (CI),Redressements fiscaux et penalites payes au CI,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Commissariat des Impots (CI),Retenue sur prestation de services,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Commissariat des Impots (CI),Taxe d'enlevement d'ordure,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Commissariat des Impots (CI),Taxe sur la Valeur Ajoutee,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Commissariat des Impots (CI),Taxes Foncieres,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Direction Generale des Mines et de la Geologie (DGMG),Redevances Minieres,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
GRANUTOGO SA,Direction Generale des Mines et de la Geologie (DGMG),Redevances Superficiaires,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
LES AIGLES,Caisse Nationale de Securite Sociale (CNSS),Cotisations sociales,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
LES AIGLES,Commissariat des Impots (CI),Retenue sur prestation de services,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
LES AIGLES,Commissariat des Impots (CI),Taxe professionnelle,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
LES AIGLES,Commissariat des Impots (CI),Taxe sur la Valeur Ajoutee,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
LES AIGLES,Direction Generale des Mines et de la Geologie (DGMG),Redevances Minieres,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
LES AIGLES,Direction Generale des Mines et de la Geologie (DGMG),Redevances Superficiaires,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
MASTER EQUIPEMENTS SARL,Caisse Nationale de Securite Sociale (CNSS),Cotisations sociales,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
MASTER EQUIPEMENTS SARL,Commissariat des Douanes et Droits Indirects (CDDI),Droit de Douane,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
MASTER EQUIPEMENTS SARL,Commissariat des Douanes et Droits Indirects (CDDI),Taxe sur la Valeur Ajoutee au cordon douanier,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
MASTER EQUIPEMENTS SARL,Commissariat des Impots (CI),Droits d’enregistrement,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
MASTER EQUIPEMENTS SARL,Commissariat des Impots (CI),Impot Minimum Forfaitaire,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
MASTER EQUIPEMENTS SARL,Commissariat des Impots (CI),Impot sur le Revenu des Capitaux Mobiliers,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
MASTER EQUIPEMENTS SARL,Commissariat des Impots (CI),Impot sur les Societes,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
MASTER EQUIPEMENTS SARL,Commissariat des Impots (CI),Retenue sur loyer,No,No,,XOF,,No,Not applicable,XOF,,Togo,TGO,2017,2017-01-01,2017-12-31
