Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Amoco Trinidad Gas BVTrinidad Branch,Ministry of Finance - Inland Revenue Division,Green Fund Levy,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,41568413.0,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,Administration Fees,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,7628729705.0,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,Annual license acreage payments,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,139791154.66,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,PSC’s Holding Fee,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,219547708.32,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,R&D Fees,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,99955298.03,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,Technical assistance,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,241900.0,Not applicable,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,Training Fees,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,70461.0,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG Central Block Limited,Ministry of Finance - Inland Revenue Division,Green Fund Levy,Yes,Yes,BG Central Block Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG Central Block Limited,Ministry of Finance - Inland Revenue Division,Penalties,Yes,Yes,BG Central Block Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG Central Block Limited,Ministry on Energy and Energy Industries,Abandonment Provision – Payments into Environmental Escrow Account,Yes,Yes,BG Central Block Limited,TTD,,Not applicable,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG Central Block Limited,Ministry on Energy and Energy Industries,Annual license acreage payments,Yes,Yes,BG Central Block Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG Central Block Limited,Ministry on Energy and Energy Industries,Minimum Rent E&P,Yes,Yes,BG Central Block Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG Central Block Limited,Ministry on Energy and Energy Industries,Petroleum Impost,Yes,Yes,BG Central Block Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG Central Block Limited,Ministry on Energy and Energy Industries,R&D Fees,Yes,Yes,BG Central Block Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG Central Block Limited,Ministry on Energy and Energy Industries,Royalty,Yes,Yes,BG Central Block Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG Central Block Limited,Ministry on Energy and Energy Industries,Training Fees,Yes,Yes,BG Central Block Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG International Limited,Ministry on Energy and Energy Industries,Administration Fees,Yes,Yes,BG International Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG International Limited,Ministry on Energy and Energy Industries,Annual license acreage payments,Yes,Yes,BG International Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG International Limited,Ministry on Energy and Energy Industries,Other payments under PSCs,Yes,Yes,BG International Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG International Limited,Ministry on Energy and Energy Industries,Production Sharing Contract (PSC) share of profits,Yes,Yes,BG International Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG International Limited,Ministry on Energy and Energy Industries,R&D Fees,Yes,Yes,BG International Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG International Limited,Ministry on Energy and Energy Industries,Scholarships,Yes,Yes,BG International Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BG International Limited,Ministry on Energy and Energy Industries,Training Fees,Yes,Yes,BG International Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Biliton Petroleum (Block 23 B) Limited,Ministry on Energy and Energy Industries,Administration Fees,Yes,Yes,BHP Biliton Petroleum (Block 23 B) Limited,,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Biliton Petroleum (Block 23 B) Limited,Ministry on Energy and Energy Industries,Annual license acreage payments,Yes,Yes,BHP Biliton Petroleum (Block 23 B) Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Biliton Petroleum (Block 23 B) Limited,Ministry on Energy and Energy Industries,R&D Fees,Yes,Yes,BHP Biliton Petroleum (Block 23 B) Limited,,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Biliton Petroleum (Block 23 B) Limited,Ministry on Energy and Energy Industries,Scholarships,Yes,Yes,BHP Biliton Petroleum (Block 23 B) Limited,,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Biliton Petroleum (Block 23 B) Limited,Ministry on Energy and Energy Industries,Technical assistance,Yes,Yes,BHP Biliton Petroleum (Block 23 B) Limited,,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Biliton Petroleum (Block 23 B) Limited,Ministry on Energy and Energy Industries,Training Fees,Yes,Yes,BHP Biliton Petroleum (Block 23 B) Limited,,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad Block 28) Limited,Ministry on Energy and Energy Industries,Administration Fees,Yes,Yes,BHP Billiton (Trinidad Block 28) Limited,,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad Block 28) Limited,Ministry on Energy and Energy Industries,Annual license acreage payments,Yes,Yes,BHP Billiton (Trinidad Block 28) Limited,TTD,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad Block 28) Limited,Ministry on Energy and Energy Industries,R&D Fees,Yes,Yes,BHP Billiton (Trinidad Block 28) Limited,,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad Block 28) Limited,Ministry on Energy and Energy Industries,Scholarships,Yes,Yes,BHP Billiton (Trinidad Block 28) Limited,,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
BHP Billiton (Trinidad Block 28) Limited,Ministry on Energy and Energy Industries,Technical assistance,Yes,Yes,BHP Billiton (Trinidad Block 28) Limited,,,No,,,,Trinidad and Tobago,TTO,2018,2017-10-01,2018-09-30
