Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Customs Service of Ukraine,VAT of goods imported into Ukraine,Not applicable,Not applicable,,UAH,790.0,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Budget reimbursement of value added tax,Not applicable,Not applicable,,UAH,1200.0,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Corporate income tax,Not applicable,Not applicable,,UAH,20.0,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Dividends and payment of a share of net profit,Not applicable,Not applicable,,UAH,30.0,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Environmental tax,Not applicable,Not applicable,,UAH,3150.0,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Production royalty,Yes,No,"Subsoil use special permit No. 1439, dated 22.06.1998",UAH,2400.0,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Production royalty,Yes,No,"Subsoil use special permit No. 1563, dated 31.08.1998",UAH,1600.0,,,,13446814,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Production royalty,Yes,No,"Subsoil use special permit No. 1622, dated 27.10.1998",UAH,800.0,,,,171639,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Production royalty,Yes,No,"Subsoil use special permit No. 2031, dated 11.11.1999",UAH,4707.0,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Production royalty,Yes,No,,UAH,3030.0,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Property tax,Not applicable,Not applicable,,UAH,15000.0,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,Unified social contribution,Not applicable,Not applicable,,UAH,258.45,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),State Tax Service of Ukraine,VAT on goods and services produced in Ukraine (excluding budget reimbursement of VAT),Not applicable,Not applicable,,UAH,82.29,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
1/1999 No. 35/4 – authorized entity Hals-K PrJSC (31566427),The State Service of Geology and Subsoil of Ukraine (Derzhgeonadra),Fees for granting or extending special permits for the use of subsoil and revenues from the sale of such permits,Not applicable,Not applicable,,UAH,1800.0,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Customs Service of Ukraine,VAT of goods imported into Ukraine,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,Budget reimbursement of value added tax,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,Corporate income tax,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,Dividends and payment of a share of net profit,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,Environmental tax,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,Production royalty,Yes,No,"Subsoil use special permit No. 4451, dated 23.10.2007",UAH,,,,,73177803,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,Production royalty,Yes,No,"Subsoil use special permit No. 4482, dated 01.11.2007",UAH,,,,,103122139,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,Production royalty,Yes,No,"Subsoil use special permit No. 4483, dated 01.11.2007",UAH,,,,,140367649,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,Production royalty,Yes,No,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,Property tax,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,Unified social contribution,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,State Tax Service of Ukraine,VAT on goods and services produced in Ukraine (excluding budget reimbursement of VAT),Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
ArcelorMittal Kryvyi Rih PJSC,The State Service of Geology and Subsoil of Ukraine (Derzhgeonadra),Fees for granting or extending special permits for the use of subsoil and revenues from the sale of such permits,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
Bilozerska Mine DLC,State Customs Service of Ukraine,VAT of goods imported into Ukraine,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
Bilozerska Mine DLC,State Tax Service of Ukraine,Budget reimbursement of value added tax,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
Bilozerska Mine DLC,State Tax Service of Ukraine,Corporate income tax,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
Bilozerska Mine DLC,State Tax Service of Ukraine,Dividends and payment of a share of net profit,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
Bilozerska Mine DLC,State Tax Service of Ukraine,Environmental tax,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
Bilozerska Mine DLC,State Tax Service of Ukraine,Production royalty,Yes,No,"Subsoil use special permit No. 4855, dated 21.01.2009",UAH,,,,,5305568,Ukraine,UKR,2019,2019-01-01,2019-12-31
Bilozerska Mine DLC,State Tax Service of Ukraine,Production royalty,Yes,No,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
Bilozerska Mine DLC,State Tax Service of Ukraine,Property tax,Not applicable,Not applicable,,UAH,,,,,,Ukraine,UKR,2019,2019-01-01,2019-12-31
