Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
ANASURIA HIBISCUS UK Ltd,Her Majesty’s Revenue and Customs (HMRC),Ring Fence CT and Supplementary Charge (RFCT & SC),Not applicable,Not applicable,,GBP,1205859767.37,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Aggregate Industries UK Ltd,Her Majesty’s Revenue and Customs (HMRC),Corporation Tax,Not applicable,Not applicable,,GBP,2721004746.0,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Aggregate Industries UK Ltd,The Crown Estate (TCE),Payments to the Crown Estate M&Q,Yes,Yes,"Area 395/1-2, Off Selsey Bill",GBP,452129889.44,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Albion Stone,Her Majesty’s Revenue and Customs (HMRC),Corporation Tax,Not applicable,Not applicable,,GBP,163.64,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Albion Stone,The Crown Estate (TCE),Payments to the Crown Estate M&Q,Yes,Yes,Admiralty Quarries,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Albion Stone,The Crown Estate (TCE),Payments to the Crown Estate M&Q,Yes,Yes,Portland Land and Minerals,GBP,37947200.0,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Alpha Petroleum,Oil & Gas Authority (OGA),Oil & Gas Authority (OGA) Levy,Yes,No,,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Alpha Petroleum,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P1034,GBP,17839287.28,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Alpha Petroleum,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P1062,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Alpha Petroleum,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P1070,GBP,20725585.0,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Alpha Petroleum,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P683,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Her Majesty’s Revenue and Customs (HMRC),Ring Fence CT and Supplementary Charge (RFCT & SC),Not applicable,Not applicable,,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Oil & Gas Authority (OGA) Levy,Yes,No,,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P139,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P1763,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P1764,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P1985,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P1986,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P2335,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P2346,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P2353,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P2354,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P2355,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P2375,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P246,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P254,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P337,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Apache Corporation,Oil & Gas Authority (OGA),Petroleum Licence Fees,Yes,Yes,P87,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
BHP Billiton Petroleum Great Britain Ltd,Her Majesty’s Revenue and Customs (HMRC),Ring Fence CT and Supplementary Charge (RFCT & SC),Not applicable,Not applicable,,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
BP UK Group,Crown Estate Scotland (CES),Payments to Crown Estate Scotland O&G,Yes,Yes,Oil Pipeline - Clair Pipeline,GBP,,Not applicable,Not applicable,Not applicable,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
