Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
CHAMBISHI COPPER SMELTER LIMITED,Local Councils,Property Rates,Yes,Yes,8403-HQ-LML,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CHAMBISHI COPPER SMELTER LIMITED,Ministry of Mines and Minerals Development,Area Charges,Yes,Yes,8403-HQ-LML,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CHAMBISHI COPPER SMELTER LIMITED,Zambian Revenue Authority (ZRA),Company Income Tax (including Provisional Tax),No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CHAMBISHI COPPER SMELTER LIMITED,Zambian Revenue Authority (ZRA),Excise Duty - Electrical  Energy,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CHAMBISHI COPPER SMELTER LIMITED,Zambian Revenue Authority (ZRA),Import VAT,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CHAMBISHI COPPER SMELTER LIMITED,Zambian Revenue Authority (ZRA),Import/Customs Duty,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CHAMBISHI COPPER SMELTER LIMITED,Zambian Revenue Authority (ZRA),Mineral Royalty,Yes,Yes,8403-HQ-LML,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CHAMBISHI COPPER SMELTER LIMITED,Zambian Revenue Authority (ZRA),VAT,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CNMC Luanshya Copper Mine Plc,Ministry of Mines and Minerals Development,Area Charges,Yes,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CNMC Luanshya Copper Mine Plc,Zambian Revenue Authority (ZRA),Company Income Tax (including Provisional Tax),No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CNMC Luanshya Copper Mine Plc,Zambian Revenue Authority (ZRA),Import VAT,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CNMC Luanshya Copper Mine Plc,Zambian Revenue Authority (ZRA),Import/Customs Duty,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CNMC Luanshya Copper Mine Plc,Zambian Revenue Authority (ZRA),Mineral Royalty,Yes,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CNMC Luanshya Copper Mine Plc,Zambian Revenue Authority (ZRA),Other taxes (ZRA),No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CNMC Luanshya Copper Mine Plc,Zambian Revenue Authority (ZRA),VAT,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
CNMC Luanshya Copper Mine Plc,Zambian Revenue Authority (ZRA),Withholding VAT,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Ministry of Mines and Minerals Development,Application Fees,Yes,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Ministry of Mines and Minerals Development,Area Charges,Yes,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Zambian Revenue Authority (ZRA),Company Income Tax (including Provisional Tax),No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Zambian Revenue Authority (ZRA),Excise Duty - Electrical  Energy,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Zambian Revenue Authority (ZRA),Import VAT,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Zambian Revenue Authority (ZRA),Import/Customs Duty,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Zambian Revenue Authority (ZRA),Mineral Royalty,Yes,Yes,16773-HQ-LML,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Zambian Revenue Authority (ZRA),Other taxes (ZRA),No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Zambian Revenue Authority (ZRA),VAT,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
Dangote Quarries Zambia Limited,Zambian Revenue Authority (ZRA),Withholding VAT,No,No,,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
FIRST QUANTUM MINING AND OPERATIONS LTD,Ministry of Mines and Minerals Development,Area Charges,Yes,Yes,21957-HQ-MPL,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
FIRST QUANTUM MINING AND OPERATIONS LTD,Ministry of Mines and Minerals Development,Area Charges,Yes,Yes,8480-HQ-LEL,ZMW,,No,,,,Zambia,ZMB,2019,2019-01-01,2019-12-31
