GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Emission and pollution taxes (114522E),Oil & Gas,Waste Management Fee,NATIONAL ENVIRONMENTAL PROTECTION AGENCY,,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Emission and pollution taxes (114522E),Mining,Environmental License Fee,NATIONAL ENVIRONMENTAL PROTECTION AGENCY,47000.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Emission and pollution taxes (114522E),Mining,Environmental License Renewal Fee,NATIONAL ENVIRONMENTAL PROTECTION AGENCY,,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on exports (1152E),Not applicable,Export Duty,MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),1226528784.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Royalties (1415E1),Mining,Royalties,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),2132228078.51,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Other rent payments (1415E5),Mining,Surface Rent,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),139823969.01,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"Fines, penalties, and forfeits (143E)",Mining,Penalty Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),5934753.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Administrative fees for government services (1422E),Mining,Bidding Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),4053388.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Other rent payments (1415E5),Mining,Site Accommodation Rent,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),2446728.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Licence fees (114521E),Mining,License Fee - Exploitation,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),375052.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Administrative fees for government services (1422E),Mining,Document Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),313488.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Licence fees (114521E),Mining,License Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),55000.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Administrative fees for government services (1422E),Mining,Guarantee Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),12520.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"Fines, penalties, and forfeits (143E)",Mining,Penalties of Late Payment,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),8514.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
From state-owned enterprises (1412E1),"Mining, Oil and Gas",Transfers of SOE net profit made to the MoF,MINISTRY OF FINANCE (REVENUE DEPARTMENT),596344082.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"Ordinary taxes on income, profits and capital gains (1112E1)","Mining, Oil and Gas",Corporate income tax (CIT),MINISTRY OF FINANCE (REVENUE DEPARTMENT),266302019.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)","Mining, Oil and Gas",Business Receipts Tax (BRT) 4%,MINISTRY OF FINANCE (REVENUE DEPARTMENT),200108724.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on payroll and workforce (112E),"Mining, Oil and Gas",Withholding Tax on Contractors,MINISTRY OF FINANCE (REVENUE DEPARTMENT),20701084.29,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Other rent payments (1415E5),"Mining, Oil and Gas",Other Tax,MINISTRY OF FINANCE (REVENUE DEPARTMENT),4973114.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"Fines, penalties, and forfeits (143E)","Mining, Oil and Gas",Penalties of Delay,MINISTRY OF FINANCE (REVENUE DEPARTMENT),1270150.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on exports (1152E),Mining,Fixed Tax on Exports,MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),168046305.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Customs and other import duties (1151E),Mining,Penalty on Imports,MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),30403595.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on exports (1152E),Mining,Other Fee on Exports,MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),28285938.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on exports (1152E),Mining,Penalty on Exports,MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),6647662.0,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Emission and pollution taxes (114522E),Mining,Environmental License Fee,NATIONAL ENVIRONMENTAL PROTECTION AGENCY,34000.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Emission and pollution taxes (114522E),Mining,Environmental License Renewal Fee,NATIONAL ENVIRONMENTAL PROTECTION AGENCY,,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Emission and pollution taxes (114522E),Gas,Waste Management Fee,NATIONAL ENVIRONMENTAL PROTECTION AGENCY,,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Taxes on exports (1152E),Not applicable,Export Duty,MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),1159113355.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Royalties (1415E1),Mining,Royalties,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),1389285520.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Other rent payments (1415E5),Mining,Surface Rent,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),80177511.56,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
"Fines, penalties, and forfeits (143E)",Mining,Penalty Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),7261069.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Licence fees (114521E),Mining,License Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),721197.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Administrative fees for government services (1422E),Mining,Exploitation Tender License Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),391203.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Administrative fees for government services (1422E),Mining,Bidding Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),377249.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Administrative fees for government services (1422E),Mining,Exploration Tender License Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),235780.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Administrative fees for government services (1422E),Mining,Document Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),175000.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Licence fees (114521E),Mining,License Fee - Exploitation,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),155281.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Administrative fees for government services (1422E),Mining,Application Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),135000.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Other rent payments (1415E5),Mining,Site Accommodation Rent,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),19500.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
From state-owned enterprises (1412E1),Not applicable,Transfers of SOE net profit made to the MoF,MINISTRY OF FINANCE (REVENUE DEPARTMENT),846184980.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Not applicable,Business Receipts Tax (BRT) 4%,MINISTRY OF FINANCE (REVENUE DEPARTMENT),270352003.0,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
