Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
APL-EP-57,,JABUL SIRAJ CONSORTIUM,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
APL-EP-58,,CORE DRILLERS,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
APL-EP-59,,AMIN KARIMZAI CAMPANY,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
APL-EP-60,,AFGHAN TALC LIMITED,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
APL-EP-61,,NABI AFGHAN COMPANY,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
APL-EP-62,,CORE DRILLERS,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
APL-EP-63,,GHAZANFAR GROUP,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
APL-EP-65,,HABIB SHAHAB TALC AND MARBLE EXPLOITATION AND PROCESS COMPANY,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
APL-EP-66,,SARDAR MUSTAFA LIMITED COMPANY,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
APL-EP-67,,NATURAL STONE COMPANY,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
APL-EP-68,,NATURAL STONE COMPANY,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
EXPL 1/2012,Mining Exploration License,شرکت تجارتی آریا پوپل لمتید,,,Not applicable,Not applicable,Not applicable,Not applicable,Afghanistan,AFG,2019,2018-12-21,2019-12-20
EXPL 1/2015,Mining Exploration License,ZAR JAN,,,Not applicable,Not applicable,Not applicable,Not applicable,Afghanistan,AFG,2019,2018-12-21,2019-12-20
EXPL 5/2012,Mining Exploration License,شرکت برادران مهمند شمال,,,Not applicable,Not applicable,Not applicable,Not applicable,Afghanistan,AFG,2019,2018-12-21,2019-12-20
P-EXP 1/2011,Petroleum Exploitation License,CNPCI WATAN OIL AND GAS AFGHANISTAN LIMITED,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
P-EXPL 2/2013,Petroleum Exploration License,DRAGON OIL SANDUQLI LIMITED,,,Not applicable,Not applicable,Not applicable,Not applicable,Afghanistan,AFG,2019,2018-12-21,2019-12-20
SSML-KABU 1/2016,Small-scale mining license,شرکت سپتی اوغلوایس مات دستی,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
SSML-KABU 13/2016,Small-scale mining license,MOHAMMAD EDRIS,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
SSML-KABU 15/2016,Small-scale mining license,HAJI MOHAMMAD ESHAN,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
SSML-KABU 18/2015,Small-scale mining license,HAJI MOHAMMAD ESHAN,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
SSML-KABU 2/2008,Small-scale mining license,شرکت تکنالوجست,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
SSML-KABU 42/2014,Small-scale mining license,شرکت ساختمانی غلام حضرت ارغندیوال,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
SSML-KABU 8/2016,Small-scale mining license,عمرگل فرزند جمعه خان,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
SSML-KABU 8/2016,Small-scale mining license,عمرگل فرزند جمعه خان,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
SSML-KABU 9/2016,Small-scale mining license,ABDUL RAOUF,,,,,,,Afghanistan,AFG,2019,2018-12-21,2019-12-20
CI-24,,DRAGON OIL AND GAS S.A,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-12,,FOXTROT INTERNATIONAL,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-202,,VITOL CDI LIMITED,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-301,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-302,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-500,,SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI),Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-502,,FOXTROT INTERNATIONAL,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-518,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-519,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-523,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-525,,VITOL CDI LIMITED,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
PUEBLO VIEJO DOMINICANA CORPORATION,101886714,PUEBLO VIEJO DOMINICANA CORPORATION,Gold (7108),Production,968337,oz,,,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"""ENVIROGOLD (LAS LAGUNAS), LIMITED""",130417784,ENVIROGOLD (LAS LAGUNAS),Gold (7108),Production,43039,oz,,,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"""ENVIROGOLD (LAS LAGUNAS), LIMITED""",130417784,LIMITED,Gold (7108),Production,43039,oz,,,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"""FALCONBRIDGE DOMINICANA, S.A.""",101007176,FALCONBRIDGE DOMINICANA,Nickel (2604),Production,19214,Tonnes,,,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"""FALCONBRIDGE DOMINICANA, S.A.""",101007176,S.A.,Nickel (2604),Production,19214,Tonnes,,,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"""CORPORACIÓN MINERA DOMINICANA, S.A.""",101530286,CORPORACIÓN MINERA DOMINICANA,Gold (7108),Production,5659,oz,,,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"""CORPORACIÓN MINERA DOMINICANA, S.A.""",101530286,S.A.,Gold (7108),Production,5659,oz,,,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"""ENVIROGOLD (LAS LAGUNAS), LIMITED""",130417784,ENVIROGOLD (LAS LAGUNAS),Gold (7108),Production,1,Tonnes,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
"""ENVIROGOLD (LAS LAGUNAS), LIMITED""",130417784,LIMITED,Gold (7108),Production,1,Tonnes,,,Dominican Republic,DOM,2019,2019-01-01,2019-12-31
"""ENVIROGOLD (LAS LAGUNAS), LIMITED""",130417784,ENVIROGOLD (LAS LAGUNAS),Gold (7108),Production,,oz,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"""ENVIROGOLD (LAS LAGUNAS), LIMITED""",130417784,LIMITED,Gold (7108),Production,,oz,,,Dominican Republic,DOM,2020,2020-01-01,2020-12-31
"""LANDESAMT FÜR BERGBAU, ENERGIE UND GEOLOGIE (LBEG) HANNOVER, LOWER SAXONY""",,BEB ERDGAS UND ERDÖL GMBH & CO. KG,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"""REGIERUNG VON OBERBAYERN, BERGAMT SÜDBAYERN, MÜNCHEN, BAVARIA""",,BEB ERDGAS UND ERDÖL GMBH & CO. KG,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
"""LANDESAMT FÜR BERGBAU, ENERGIE UND GEOLOGIE (LBEG) HANNOVER FÜR FINANZVERWALTUNG SCHLESWIG HOLSTEIN, SCHLESWIG HOLSTEIN""",,DEA DEUTSCHE ERDOEL AG,Crude oil and natural gas,Production,,,,,Germany,DEU,2017,2017-01-01,2017-12-31
