Full project name,Revenue value,Country,Year
APL-EP-57,378109.0,Afghanistan,2018
APL-EP-58,367260.0,Afghanistan,2018
APL-EP-59,365746.0,Afghanistan,2018
APL-EP-60,366791.0,Afghanistan,2018
APL-EP-61,365746.0,Afghanistan,2018
APL-EP-62,358339.0,Afghanistan,2018
APL-EP-63,360148.0,Afghanistan,2018
APL-EP-65,365746.0,Afghanistan,2018
APL-EP-66,371205.0,Afghanistan,2018
APL-EP-67,377149.0,Afghanistan,2018
APL-EP-68,377149.0,Afghanistan,2018
EXP 1/2008,6767836.0,Afghanistan,2018
EXP 1/2014,1890318024.0,Afghanistan,2018
EXPL 1/2006,21219036.0,Afghanistan,2018
EXPL 1/2009,47263121.0,Afghanistan,2018
EXPL 1/2012,374288.0,Afghanistan,2018
EXPL 1/2014,2016396.0,Afghanistan,2018
EXPL 1/2015,34577.0,Afghanistan,2018
EXPL 2/2012,68365043.0,Afghanistan,2018
EXPL 2/2013,753981.0,Afghanistan,2018
EXPL 2/2015,4831818.0,Afghanistan,2018
EXPL 3/2012,5389321.0,Afghanistan,2018
EXPL 3/2013,1068538.0,Afghanistan,2018
EXPL 4/2014,891233.0,Afghanistan,2018
EXPL 5/2012,4010260.0,Afghanistan,2018
EXPL 5/2013,10607480.0,Afghanistan,2018
EXPL 5/2014,28820055.0,Afghanistan,2018
EXPL 6/2012,8767186.0,Afghanistan,2018
EXPL 7/2012,22814244.0,Afghanistan,2018
EXPL 8/2012,2647538.0,Afghanistan,2018
P-EXP 1/2011,20446894.0,Afghanistan,2018
P-EXPL 1/2013,59750196.0,Afghanistan,2018
P-EXPL 2/2013,66741767.0,Afghanistan,2018
SSML-KABU 1/2008,1558152.0,Afghanistan,2018
SSML-KABU 1/2015,229732.0,Afghanistan,2018
SSML-KABU 1/2016,113552.0,Afghanistan,2018
SSML-KABU 10/2016,126085.0,Afghanistan,2018
SSML-KABU 11/2015,139422.0,Afghanistan,2018
SSML-KABU 12/2016,31436.0,Afghanistan,2018
